Series,Method,Citation,Contributor,NMFS_POPID,ESU,MAJOR_POPULATION_GROUP,POPULATION_NAME,COMMON_POPULATION_NAME,DISPLAY_ORDER,SPECIES,RUN_TIMING,STREAM_NAME,YEAR,NUMBER_OF_SPAWNERS,FRACWILD,CATCH,AGE_1_RETURNS,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,115,"Salmon, chum (Columbia River ESU)",Coast,Grays/Chinook Fall Chum,Grays & Chinook Rs.,1.1.1,Chum salmon,Fall,Grays River,2001,4742,0.895,-99,-99,-99,0.211,0.782,0.007,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,115,"Salmon, chum (Columbia River ESU)",Coast,Grays/Chinook Fall Chum,Grays & Chinook Rs.,1.1.1,Chum salmon,Fall,Grays River,2002,11713,0.896,-99,-99,-99,0.697,0.201,0.102,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,115,"Salmon, chum (Columbia River ESU)",Coast,Grays/Chinook Fall Chum,Grays & Chinook Rs.,1.1.1,Chum salmon,Fall,Grays River,2003,16669,0.933,-99,-99,-99,0.087,0.902,0.011,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,115,"Salmon, chum (Columbia River ESU)",Coast,Grays/Chinook Fall Chum,Grays & Chinook Rs.,1.1.1,Chum salmon,Fall,Grays River,2004,13716,0.959,-99,-99,-99,0.069,0.858,0.073,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,115,"Salmon, chum (Columbia River ESU)",Coast,Grays/Chinook Fall Chum,Grays & Chinook Rs.,1.1.1,Chum salmon,Fall,Grays River,2005,4204,0.903,-99,-99,-99,0.281,0.527,0.19,0.002,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,115,"Salmon, chum (Columbia River ESU)",Coast,Grays/Chinook Fall Chum,Grays & Chinook Rs.,1.1.1,Chum salmon,Fall,Grays River,2006,6605,0.933,-99,-99,-99,0.212,0.762,0.025,0.001,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,115,"Salmon, chum (Columbia River ESU)",Coast,Grays/Chinook Fall Chum,Grays & Chinook Rs.,1.1.1,Chum salmon,Fall,Grays River,2007,3999,0.955,-99,-99,-99,0.133,0.775,0.092,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,115,"Salmon, chum (Columbia River ESU)",Coast,Grays/Chinook Fall Chum,Grays & Chinook Rs.,1.1.1,Chum salmon,Fall,Grays River,2008,2608,0.921,-99,-99,-99,0.253,0.697,0.05,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,115,"Salmon, chum (Columbia River ESU)",Coast,Grays/Chinook Fall Chum,Grays & Chinook Rs.,1.1.1,Chum salmon,Fall,Grays River,2009,2876,0.965,-99,-99,-99,0.683,0.24,0.077,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,115,"Salmon, chum (Columbia River ESU)",Coast,Grays/Chinook Fall Chum,Grays & Chinook Rs.,1.1.1,Chum salmon,Fall,Grays River,2010,6380,0.953,-99,-99,-99,0.093,0.894,0.013,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,115,"Salmon, chum (Columbia River ESU)",Coast,Grays/Chinook Fall Chum,Grays & Chinook Rs.,1.1.1,Chum salmon,Fall,Grays River,2011,10809,0.93,-99,-99,-99,0.043,0.93,0.026,-99,-99
CRchum2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,115,"Salmon, chum (Columbia River ESU)",Coast,Grays/Chinook Fall Chum,Grays & Chinook Rs.,1.1.1,Chum salmon,Fall,Grays River,2012,8010,0.972,-99,-99,-99,0.091,0.742,0.167,-99,-99
