#' Hood Canal Summer-run Chum Salmon ESU
#'
#' @description Spawner counts and fraction wild data.
#'
#' @details Downloaded from the SPS Master Oracle 2013-2014 Database on
#' January 28, 2016
#' 
#' @source 
#' 
#' @references
#' 
#' @author Monica Diaz (NOAA/NWFSC)
#' 
"NMFS_POPID", "ESU", "SPECIES", "RUN_TIMING", "MAJOR_POPULATION_GROUP", "COMMON_POPULATION_NAME", "YEAR", "NUMBER_OF_SPAWNERS", "FRACWILD"
126, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Hood Canal", 1968, 32838, 1
126, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Hood Canal", 1969, 15073, 1
126, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Hood Canal", 1970, 12645, 1
126, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Hood Canal", 1971, 17412, 1
126, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Hood Canal", 1972, 30079, 1
126, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Hood Canal", 1973, 18107, 1
126, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Hood Canal", 1974, 12281, 1
126, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Hood Canal", 1975, 18248, 1
126, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Hood Canal", 1976, 27715, 1
126, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Hood Canal", 1977, 10711, 1
126, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Hood Canal", 1978, 19709, 1
126, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Hood Canal", 1979, 6554, 1
126, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Hood Canal", 1980, 3777, 1
126, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Hood Canal", 1981, 2374, 1
126, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Hood Canal", 1982, 2623, 1
126, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Hood Canal", 1983, 899, 1
126, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Hood Canal", 1984, 1414, 1
126, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Hood Canal", 1985, 1109, 1
126, "Hood Canal Summer-run Chum Salmon ESU", "Chum", "Summer-run", "Hood Canal", "Hood Canal", 1986, 2552, 1
