"ESU","SPECIES","METHOD","MAJOR_POPULATION_GROUP","NMFS_POPID","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","CITATION","CONTRIBUTOR","LINE_NOTES","FILE_NOTES"
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Model","Middle Fork Salmon","58","Bear Valley Creek","Bear Valley Ck.","4.9","","Bear Valley Creek","2015","1405","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (2015-2019). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2187. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","","@filename ICSRSSchinookModel"
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Model","Middle Fork Salmon","58","Bear Valley Creek","Bear Valley Ck.","4.9","","Bear Valley Creek","2016","450","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (2015-2019). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2187. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","","@compiler Mari Williams"
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Model","Middle Fork Salmon","58","Bear Valley Creek","Bear Valley Ck.","4.9","","Bear Valley Creek","2017","25","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (2015-2019). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2187. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Model","Middle Fork Salmon","58","Bear Valley Creek","Bear Valley Ck.","4.9","","Bear Valley Creek","2018","239","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (2015-2019). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2187. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Model","Middle Fork Salmon","58","Bear Valley Creek","Bear Valley Ck.","4.9","","Bear Valley Creek","2019","134","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (2015-2019). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2187. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Model","Middle Fork Salmon","59","Big Creek","Big Ck.","4.3","","Big Creek","2011","377","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (2011-2019). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2187. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Model","Middle Fork Salmon","59","Big Creek","Big Ck.","4.3","","Big Creek","2012","651","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (2011-2019). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2187. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Model","Middle Fork Salmon","59","Big Creek","Big Ck.","4.3","","Big Creek","2013","900","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (2011-2019). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2187. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Model","Middle Fork Salmon","59","Big Creek","Big Ck.","4.3","","Big Creek","2014","1138","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (2011-2019). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2187. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
"Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Model","Middle Fork Salmon","59","Big Creek","Big Ck.","4.3","","Big Creek","2015","1136","1","-99","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (2011-2019). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2187. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.","Nez Perce Tribe","",""
