"ESU","SPECIES","METHOD","MAJOR_POPULATION_GROUP","NMFS_POPID","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","CITATION","CONTRIBUTOR","LINE_NOTES","FILE_NOTES"
"Steelhead (Snake River Basin DPS)","Steelhead","GSI","Clearwater","303","Clearwater River lower mainstem","Clearwater R. Low. Mainstem","2.1","","Clearwater River Lower Mainstem","1985","6734","0.332","","Snake River Steelhead Natural Origin Spawner Abundance Dataset (1985-2020). Spawner abundance data. Idaho Department of Fish and Game. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/230. Accessed from www.cax.streamnet.org vers May 14, 2021 10:00PM by Mari Williams, NOAAF NWFSC/OAI.","Idaho Department of Fish and Game","","@filename ICSRsthdGSI"
"Steelhead (Snake River Basin DPS)","Steelhead","GSI","Clearwater","303","Clearwater River lower mainstem","Clearwater R. Low. Mainstem","2.1","","Clearwater River Lower Mainstem","1986","7340","0.332","","Snake River Steelhead Natural Origin Spawner Abundance Dataset (1985-2020). Spawner abundance data. Idaho Department of Fish and Game. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/230. Accessed from www.cax.streamnet.org vers May 14, 2021 10:00PM by Mari Williams, NOAAF NWFSC/OAI.","Idaho Department of Fish and Game","","@compiler Mari Williams"
"Steelhead (Snake River Basin DPS)","Steelhead","GSI","Clearwater","303","Clearwater River lower mainstem","Clearwater R. Low. Mainstem","2.1","","Clearwater River Lower Mainstem","1987","6069","0.332","","Snake River Steelhead Natural Origin Spawner Abundance Dataset (1985-2020). Spawner abundance data. Idaho Department of Fish and Game. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/230. Accessed from www.cax.streamnet.org vers May 14, 2021 10:00PM by Mari Williams, NOAAF NWFSC/OAI.","Idaho Department of Fish and Game","",""
"Steelhead (Snake River Basin DPS)","Steelhead","GSI","Clearwater","303","Clearwater River lower mainstem","Clearwater R. Low. Mainstem","2.1","","Clearwater River Lower Mainstem","1988","7012","0.332","","Snake River Steelhead Natural Origin Spawner Abundance Dataset (1985-2020). Spawner abundance data. Idaho Department of Fish and Game. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/230. Accessed from www.cax.streamnet.org vers May 14, 2021 10:00PM by Mari Williams, NOAAF NWFSC/OAI.","Idaho Department of Fish and Game","",""
"Steelhead (Snake River Basin DPS)","Steelhead","GSI","Clearwater","303","Clearwater River lower mainstem","Clearwater R. Low. Mainstem","2.1","","Clearwater River Lower Mainstem","1989","5584","0.332","","Snake River Steelhead Natural Origin Spawner Abundance Dataset (1985-2020). Spawner abundance data. Idaho Department of Fish and Game. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/230. Accessed from www.cax.streamnet.org vers May 14, 2021 10:00PM by Mari Williams, NOAAF NWFSC/OAI.","Idaho Department of Fish and Game","",""
"Steelhead (Snake River Basin DPS)","Steelhead","GSI","Clearwater","303","Clearwater River lower mainstem","Clearwater R. Low. Mainstem","2.1","","Clearwater River Lower Mainstem","1990","6867","0.332","","Snake River Steelhead Natural Origin Spawner Abundance Dataset (1985-2020). Spawner abundance data. Idaho Department of Fish and Game. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/230. Accessed from www.cax.streamnet.org vers May 14, 2021 10:00PM by Mari Williams, NOAAF NWFSC/OAI.","Idaho Department of Fish and Game","",""
"Steelhead (Snake River Basin DPS)","Steelhead","GSI","Clearwater","303","Clearwater River lower mainstem","Clearwater R. Low. Mainstem","2.1","","Clearwater River Lower Mainstem","1991","2554","0.332","","Snake River Steelhead Natural Origin Spawner Abundance Dataset (1985-2020). Spawner abundance data. Idaho Department of Fish and Game. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/230. Accessed from www.cax.streamnet.org vers May 14, 2021 10:00PM by Mari Williams, NOAAF NWFSC/OAI.","Idaho Department of Fish and Game","",""
"Steelhead (Snake River Basin DPS)","Steelhead","GSI","Clearwater","303","Clearwater River lower mainstem","Clearwater R. Low. Mainstem","2.1","","Clearwater River Lower Mainstem","1992","4759","0.332","","Snake River Steelhead Natural Origin Spawner Abundance Dataset (1985-2020). Spawner abundance data. Idaho Department of Fish and Game. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/230. Accessed from www.cax.streamnet.org vers May 14, 2021 10:00PM by Mari Williams, NOAAF NWFSC/OAI.","Idaho Department of Fish and Game","",""
"Steelhead (Snake River Basin DPS)","Steelhead","GSI","Clearwater","303","Clearwater River lower mainstem","Clearwater R. Low. Mainstem","2.1","","Clearwater River Lower Mainstem","1993","5331","0.332","","Snake River Steelhead Natural Origin Spawner Abundance Dataset (1985-2020). Spawner abundance data. Idaho Department of Fish and Game. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/230. Accessed from www.cax.streamnet.org vers May 14, 2021 10:00PM by Mari Williams, NOAAF NWFSC/OAI.","Idaho Department of Fish and Game","",""
"Steelhead (Snake River Basin DPS)","Steelhead","GSI","Clearwater","303","Clearwater River lower mainstem","Clearwater R. Low. Mainstem","2.1","","Clearwater River Lower Mainstem","1994","2506","0.332","","Snake River Steelhead Natural Origin Spawner Abundance Dataset (1985-2020). Spawner abundance data. Idaho Department of Fish and Game. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/230. Accessed from www.cax.streamnet.org vers May 14, 2021 10:00PM by Mari Williams, NOAAF NWFSC/OAI.","Idaho Department of Fish and Game","",""
