Series,Method,Citation,Contributor,NMFS_POPID,ESU,MAJOR_POPULATION_GROUP,Population_name,COMMON_POPULATION_NAME,DISPLAY_ORDER,SPECIES,RUN_TIMING,STREAM_NAME,BROOD_YEAR,NUMBER_OF_SPAWNERS,FRACWILD,CATCH,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS,AGE_8_RETURNS
ICUCsthdSurvey2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,331,Steelhead (Upper Columbia River DPS),North Cascades,Wenatchee River,Wenatchee R.,1.2,Steelhead,,Wenatchee River,1962,3055,-99,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdSurvey2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,331,Steelhead (Upper Columbia River DPS),North Cascades,Wenatchee River,Wenatchee R.,1.2,Steelhead,,Wenatchee River,1963,3359,-99,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdSurvey2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,331,Steelhead (Upper Columbia River DPS),North Cascades,Wenatchee River,Wenatchee R.,1.2,Steelhead,,Wenatchee River,1964,2758,-99,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdSurvey2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,331,Steelhead (Upper Columbia River DPS),North Cascades,Wenatchee River,Wenatchee R.,1.2,Steelhead,,Wenatchee River,1965,2417,-99,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdSurvey2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,331,Steelhead (Upper Columbia River DPS),North Cascades,Wenatchee River,Wenatchee R.,1.2,Steelhead,,Wenatchee River,1966,2648,-99,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdSurvey2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,331,Steelhead (Upper Columbia River DPS),North Cascades,Wenatchee River,Wenatchee R.,1.2,Steelhead,,Wenatchee River,1967,468,-99,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdSurvey2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,331,Steelhead (Upper Columbia River DPS),North Cascades,Wenatchee River,Wenatchee R.,1.2,Steelhead,,Wenatchee River,1968,1746,-99,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdSurvey2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,331,Steelhead (Upper Columbia River DPS),North Cascades,Wenatchee River,Wenatchee R.,1.2,Steelhead,,Wenatchee River,1969,1250,-99,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdSurvey2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,331,Steelhead (Upper Columbia River DPS),North Cascades,Wenatchee River,Wenatchee R.,1.2,Steelhead,,Wenatchee River,1970,495,-99,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdSurvey2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,331,Steelhead (Upper Columbia River DPS),North Cascades,Wenatchee River,Wenatchee R.,1.2,Steelhead,,Wenatchee River,1971,1358,-99,-99,-99,-99,-99,-99,-99,-99,-99
