Series,Method,Citation,Contributor,NMFS_POPID,ESU,MAJOR_POPULATION_GROUP,POPULATION_NAME,COMMON_POPULATION_NAME,DISPLAY_ORDER,SPECIES,RUN_TIMING,STREAM_NAME,BROOD_YEAR,NUMBER_OF_SPAWNERS,FRACWILD,CATCH,AGE_1_RETURNS,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS
LCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,8,"Salmon, Chinook (Lower Columbia River ESU)",Coast fall,Grays/Chinook Fall (Tule) Chinook,Grays & Chinook R.,1.1.1,Chinook salmon,Fall,Grays River,1964,92,-99,-99,-99,-99,0.978,0.022,-99,-99,-99
LCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,8,"Salmon, Chinook (Lower Columbia River ESU)",Coast fall,Grays/Chinook Fall (Tule) Chinook,Grays & Chinook R.,1.1.1,Chinook salmon,Fall,Grays River,1965,136,-99,-99,-99,-99,0.361,0.64,-99,-99,-99
LCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,8,"Salmon, Chinook (Lower Columbia River ESU)",Coast fall,Grays/Chinook Fall (Tule) Chinook,Grays & Chinook R.,1.1.1,Chinook salmon,Fall,Grays River,1966,127,-99,-99,-99,-99,0.992,0.008,-99,-99,-99
LCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,8,"Salmon, Chinook (Lower Columbia River ESU)",Coast fall,Grays/Chinook Fall (Tule) Chinook,Grays & Chinook R.,1.1.1,Chinook salmon,Fall,Grays River,1967,137,-99,-99,-99,-99,0.27,0.679,0.051,-99,-99
LCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,8,"Salmon, Chinook (Lower Columbia River ESU)",Coast fall,Grays/Chinook Fall (Tule) Chinook,Grays & Chinook R.,1.1.1,Chinook salmon,Fall,Grays River,1968,338,-99,-99,-99,-99,0.849,0.151,-99,-99,-99
LCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,8,"Salmon, Chinook (Lower Columbia River ESU)",Coast fall,Grays/Chinook Fall (Tule) Chinook,Grays & Chinook R.,1.1.1,Chinook salmon,Fall,Grays River,1969,129,-99,-99,-99,-99,0.085,0.899,0.016,-99,-99
LCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,8,"Salmon, Chinook (Lower Columbia River ESU)",Coast fall,Grays/Chinook Fall (Tule) Chinook,Grays & Chinook R.,1.1.1,Chinook salmon,Fall,Grays River,1970,359,-99,-99,-99,-99,0.577,0.37,0.053,-99,-99
LCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,8,"Salmon, Chinook (Lower Columbia River ESU)",Coast fall,Grays/Chinook Fall (Tule) Chinook,Grays & Chinook R.,1.1.1,Chinook salmon,Fall,Grays River,1971,622,-99,-99,-99,-99,0.357,0.611,0.032,-99,-99
LCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,8,"Salmon, Chinook (Lower Columbia River ESU)",Coast fall,Grays/Chinook Fall (Tule) Chinook,Grays & Chinook R.,1.1.1,Chinook salmon,Fall,Grays River,1972,674,-99,-99,-99,-99,0.221,0.706,0.073,-99,-99
LCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,8,"Salmon, Chinook (Lower Columbia River ESU)",Coast fall,Grays/Chinook Fall (Tule) Chinook,Grays & Chinook R.,1.1.1,Chinook salmon,Fall,Grays River,1973,503,-99,-99,-99,-99,0.346,0.481,0.173,-99,-99
