#' Lower Columbia River Chinook Salmon ESU
#'
#' @description Spawner counts and fraction wild data.
#'
#' @details Downloaded from the SPS Master Oracle 2013-2014 Database on
#' January 28, 2016
#' 
#' @source 
#' 
#' @references
#' 
#' @author Monica Diaz (NOAA/NWFSC)
#' 
"NMFS_POPID", "ESU", "SPECIES", "RUN_TIMING", "MAJOR_POPULATION_GROUP", "COMMON_POPULATION_NAME", "YEAR", "NUMBER_OF_SPAWNERS", "FRACWILD"
6, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Coweeman River", 1964, 364, -99
6, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Coweeman River", 1965, 75, -99
6, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Coweeman River", 1966, 108, -99
6, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Coweeman River", 1967, 100, -99
6, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Coweeman River", 1968, 132, -99
6, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Coweeman River", 1969, 86, -99
6, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Coweeman River", 1970, 72, -99
6, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Coweeman River", 1971, 933, -99
6, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Coweeman River", 1972, 830, -99
6, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Coweeman River", 1973, 242, -99
6, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Coweeman River", 1974, 156, -99
6, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Coweeman River", 1975, 296, -99
6, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Coweeman River", 1976, 528, -99
6, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Coweeman River", 1977, 337, 1
6, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Coweeman River", 1978, 243, 1
6, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Coweeman River", 1979, 344, 1
6, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Coweeman River", 1980, 180, 1
6, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Coweeman River", 1981, 116, 1
6, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Coweeman River", 1982, 146, 1
6, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Coweeman River", 1983, 122, 1
6, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Coweeman River", 1984, 683, 1
6, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Coweeman River", 1985, 491, 0.95
6, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Coweeman River", 1986, 396, 1
6, "Lower Columbia River Chinook Salmon ESU", "Chinook", "Fall-run", "Cascade", "Coweeman River", 1987, 386, 1
