#' Lower Columbia River Coho Salmon ESU
#'
#' Spawner counts and fraction wild data.
#'
#' @format A csv file.
#' \describe{
#'   \item{NMFS_POPID}{NWFSC id for the population.}
#'   \item{ESU}{}
#'   \item{SPECIES}{}
#'   \item{RUN_TIMING}{}
#'   \item{MAJOR_POPULATION_GROUP}{}
#'   \item{COMMON_POPULATION_NAME}{}
#'   \item{BROOD_YEAR}{The year that the count was made.}
#'   \item{NUMBER_OF_SPAWNERS}{Spawners count. -99 means missing count.}
#'   \item{FRACWILD}{Fraction wild. -99 means missing information.}
#' }
#' @details Downloaded from the SPS Master Oracle 2013-2014 Database on
#' January 28, 2016
"NMFS_POPID", "ESU", "SPECIES", "RUN_TIMING", "MAJOR_POPULATION_GROUP", "COMMON_POPULATION_NAME", "BROOD_YEAR", "NUMBER_OF_SPAWNERS", "FRACWILD"
128, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Coastal", "Big Creek", 2002, 964, 0.102
128, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Coastal", "Big Creek", 2003, 726, 0.599
128, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Coastal", "Big Creek", 2004, 377, 0.297
128, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Coastal", "Big Creek", 2005, 343, 0.638
128, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Coastal", "Big Creek", 2006, 225, -99
128, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Coastal", "Big Creek", 2007, 428, 0.495
128, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Coastal", "Big Creek", 2008, 426, 0.845
128, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Coastal", "Big Creek", 2009, 1728, 0.458
128, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Coastal", "Big Creek", 2010, 401, 0.696
128, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Coastal", "Big Creek", 2011, 333, 0.48
128, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Coastal", "Big Creek", 2012, 521, 0.785
130, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Willamette - Cascade", "Clackamas River", 1957, 598, -99
130, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Willamette - Cascade", "Clackamas River", 1958, 522, -99
130, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Willamette - Cascade", "Clackamas River", 1959, 1330, -99
130, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Willamette - Cascade", "Clackamas River", 1960, 2185, -99
130, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Willamette - Cascade", "Clackamas River", 1961, 2189, -99
130, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Willamette - Cascade", "Clackamas River", 1962, 3119, -99
130, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Willamette - Cascade", "Clackamas River", 1963, 1879, -99
130, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Willamette - Cascade", "Clackamas River", 1964, 2476, -99
130, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Willamette - Cascade", "Clackamas River", 1965, 3937, -99
130, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Willamette - Cascade", "Clackamas River", 1966, 777, -99
130, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Willamette - Cascade", "Clackamas River", 1967, 1498, -99
130, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Willamette - Cascade", "Clackamas River", 1968, 4696, -99
130, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Willamette - Cascade", "Clackamas River", 1969, 1854, -99
130, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Willamette - Cascade", "Clackamas River", 1970, 2751, -99
130, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Willamette - Cascade", "Clackamas River", 1971, 4095, -99
130, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Willamette - Cascade", "Clackamas River", 1972, 1094, -99
130, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Willamette - Cascade", "Clackamas River", 1973, 740, -99
130, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Willamette - Cascade", "Clackamas River", 1974, 1931, 0.65
130, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Willamette - Cascade", "Clackamas River", 1975, 2428, 0.65
130, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Willamette - Cascade", "Clackamas River", 1976, 2593, 0.65
130, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Willamette - Cascade", "Clackamas River", 1977, 1920, 0.65
130, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Willamette - Cascade", "Clackamas River", 1978, 1678, 0.65
130, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Willamette - Cascade", "Clackamas River", 1979, 2451, 0.65
130, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Willamette - Cascade", "Clackamas River", 1980, 6840, 0.65
130, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Willamette - Cascade", "Clackamas River", 1981, 2507, 0.65
130, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Willamette - Cascade", "Clackamas River", 1982, 5471, 0.65
130, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Willamette - Cascade", "Clackamas River", 1983, 3426, 0.65
130, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Willamette - Cascade", "Clackamas River", 1984, 1464, 0.65
130, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Willamette - Cascade", "Clackamas River", 1985, 6793, 0.65
130, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Willamette - Cascade", "Clackamas River", 1986, 9163, 0.65
130, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Willamette - Cascade", "Clackamas River", 1987, 2886, 0.65
130, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Willamette - Cascade", "Clackamas River", 1988, 3561, 0.64
130, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Willamette - Cascade", "Clackamas River", 1989, 4721, 0.64
130, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Willamette - Cascade", "Clackamas River", 1990, 1516, 0.65
130, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Willamette - Cascade", "Clackamas River", 1991, 6692, 0.65
130, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Willamette - Cascade", "Clackamas River", 1992, 7449, 0.65
130, "Lower Columbia River Coho Salmon ESU", "Coho", "-99", "Willamette - Cascade", "Clackamas River", 1993, 360, 0.65
