#' Middle Columbia River Steelhead DPS
#'
#' Spawner counts and fraction wild data.
#'
#' @format A csv file.
#' \describe{
#'   \item{NMFS_POPID}{NWFSC id for the population.}
#'   \item{ESU}{}
#'   \item{SPECIES}{}
#'   \item{RUN_TIMING}{}
#'   \item{MAJOR_POPULATION_GROUP}{}
#'   \item{COMMON_POPULATION_NAME}{}
#'   \item{BROOD_YEAR}{The year that the count was made.}
#'   \item{NUMBER_OF_SPAWNERS}{Spawners count. -99 means missing count.}
#'   \item{FRACWILD}{Fraction wild. -99 means missing information.}
#' }
#' @details Downloaded from the SPS Master Oracle 2013-2014 Database on
#' January 28, 2016
"NMFS_POPID", "ESU", "SPECIES", "RUN_TIMING", "MAJOR_POPULATION_GROUP", "COMMON_POPULATION_NAME", "BROOD_YEAR", "NUMBER_OF_SPAWNERS", "FRACWILD"
249, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Eastside", 1990, 1002, 0.9
249, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Eastside", 1991, 1273, 0.95
249, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Eastside", 1992, 792, 0.92
249, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Eastside", 1993, 582, 0.58
249, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Eastside", 1994, 434, 0.71
249, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Eastside", 1995, 739, 0.62
249, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Eastside", 1996, 952, 0.48
249, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Eastside", 1997, 1828, 0.51
249, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Eastside", 1998, 1987, 0.24
249, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Eastside", 1999, 2412, 0.71
249, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Eastside", 2000, 3340, 0.75
249, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Eastside", 2001, 10005, 0.86
249, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Eastside", 2002, 5957, 0.86
249, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Eastside", 2003, 4887, 0.82
249, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Eastside", 2004, 2753, 0.67
249, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Eastside", 2005, 1888, 0.93
249, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Eastside", 2006, 2425, 0.82
249, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Eastside", 2007, 3544, 0.59
249, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Eastside", 2008, 2463, 0.77
249, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Eastside", 2009, 1807, 0.92
249, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Eastside", 2010, 1611, 0.86
249, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Eastside", 2011, 1806, 0.812
249, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Eastside", 2012, 2455, 0.794
249, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Eastside", 2013, 1478, 0.96
250, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Westside", 1978, 598, 0.99
250, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Westside", 1979, 390, 0.99
250, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Westside", 1980, 480, 0.96
250, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Westside", 1981, 576, 0.96
250, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Westside", 1982, 889, 0.98
250, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Westside", 1983, 412, 0.95
250, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Westside", 1984, 749, 0.9
250, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Westside", 1985, 928, 0.95
250, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Westside", 1986, 710, 0.94
250, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Westside", 1987, 1198, 0.86
250, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Westside", 1988, 898, 0.76
250, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Westside", 1989, 512, 0.91
250, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Westside", 1990, 485, 0.89
250, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Westside", 1991, 298, 0.8
250, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Westside", 1992, 525, 0.73
250, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Westside", 1993, 164, 0.7
250, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Westside", 1994, 283, 0.73
250, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Westside", 1995, 249, 0.67
250, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Westside", 1996, 153, 0.7
250, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Westside", 1997, 417, 0.75
250, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Westside", 1998, 644, 0.57
250, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Westside", 1999, 451, 0.64
250, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Westside", 2000, 660, 0.71
250, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Westside", 2001, 919, 0.83
250, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Westside", 2002, 1237, 0.77
250, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Westside", 2003, 1549, 0.83
250, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Westside", 2004, 666, 0.77
250, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Westside", 2005, 647, 0.87
250, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Westside", 2006, 510, 0.89
250, "Middle Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Cascades Eastern Slope Tributaries", "Deschutes River Westside", 2007, 775, 0.73
