Citation,Contributor,NMFS_POPID,DISPLAY_ORDER,ESU,MAJOR_POPULATION_GROUP,POPULATION_NAME,COMMON_POPULATION_NAME,SPECIES,Run,RUN_TIMING,STREAM_NAME,BROOD_YEAR,NUMBER_OF_SPAWNERS,FRACWILD,CATCH,AGE_1_RETURNS,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS
CAX05262020,Oregon Department of Fish and Wildlife,176,1,"Salmon, coho (Oregon Coast ESU)",North Coast,Necanicum River,Necanicum R.,Coho salmon,Fall,,Necanicum River,2008,1183,0.892,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,176,1,"Salmon, coho (Oregon Coast ESU)",North Coast,Necanicum River,Necanicum R.,Coho salmon,Fall,,Necanicum River,2009,3869,0.989,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,176,1,"Salmon, coho (Oregon Coast ESU)",North Coast,Necanicum River,Necanicum R.,Coho salmon,Fall,,Necanicum River,2010,4445,1,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,176,1,"Salmon, coho (Oregon Coast ESU)",North Coast,Necanicum River,Necanicum R.,Coho salmon,Fall,,Necanicum River,2011,2159,0.982,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,176,1,"Salmon, coho (Oregon Coast ESU)",North Coast,Necanicum River,Necanicum R.,Coho salmon,Fall,,Necanicum River,2012,902,1,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,176,1,"Salmon, coho (Oregon Coast ESU)",North Coast,Necanicum River,Necanicum R.,Coho salmon,Fall,,Necanicum River,2013,798,1,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,176,1,"Salmon, coho (Oregon Coast ESU)",North Coast,Necanicum River,Necanicum R.,Coho salmon,Fall,,Necanicum River,2014,5825,0.983,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,176,1,"Salmon, coho (Oregon Coast ESU)",North Coast,Necanicum River,Necanicum R.,Coho salmon,Fall,,Necanicum River,2015,847,1,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,176,1,"Salmon, coho (Oregon Coast ESU)",North Coast,Necanicum River,Necanicum R.,Coho salmon,Fall,,Necanicum River,2016,936,1,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,176,1,"Salmon, coho (Oregon Coast ESU)",North Coast,Necanicum River,Necanicum R.,Coho salmon,Fall,,Necanicum River,2017,555,0.95,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,176,1,"Salmon, coho (Oregon Coast ESU)",North Coast,Necanicum River,Necanicum R.,Coho salmon,Fall,,Necanicum River,2018,393,1,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,176,1,"Salmon, coho (Oregon Coast ESU)",North Coast,Necanicum River,Necanicum R.,Coho salmon,Fall,,Necanicum River,1996,693,0.6,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,176,1,"Salmon, coho (Oregon Coast ESU)",North Coast,Necanicum River,Necanicum R.,Coho salmon,Fall,,Necanicum River,1997,161,0.602,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,176,1,"Salmon, coho (Oregon Coast ESU)",North Coast,Necanicum River,Necanicum R.,Coho salmon,Fall,,Necanicum River,1998,958,0.6,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,176,1,"Salmon, coho (Oregon Coast ESU)",North Coast,Necanicum River,Necanicum R.,Coho salmon,Fall,,Necanicum River,1999,370,0.949,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,176,1,"Salmon, coho (Oregon Coast ESU)",North Coast,Necanicum River,Necanicum R.,Coho salmon,Fall,,Necanicum River,2000,378,0.95,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,176,1,"Salmon, coho (Oregon Coast ESU)",North Coast,Necanicum River,Necanicum R.,Coho salmon,Fall,,Necanicum River,2001,5112,0.945,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,176,1,"Salmon, coho (Oregon Coast ESU)",North Coast,Necanicum River,Necanicum R.,Coho salmon,Fall,,Necanicum River,2002,2143,0.955,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,176,1,"Salmon, coho (Oregon Coast ESU)",North Coast,Necanicum River,Necanicum R.,Coho salmon,Fall,,Necanicum River,2003,2535,0.938,-99,-99,-99,-99,-99,-99,-99,-99
CAX05262020,Oregon Department of Fish and Wildlife,176,1,"Salmon, coho (Oregon Coast ESU)",North Coast,Necanicum River,Necanicum R.,Coho salmon,Fall,,Necanicum River,2004,2339,0.94,-99,-99,-99,-99,-99,-99,-99,-99
