#' Oregon Coast Coho Salmon ESU
#'
#' Spawner counts and fraction wild data.
#'
#' @format A csv file.
#' \describe{
#'   \item{NMFS_POPID}{NWFSC id for the population.}
#'   \item{ESU}{}
#'   \item{SPECIES}{}
#'   \item{RUN_TIMING}{}
#'   \item{MAJOR_POPULATION_GROUP}{}
#'   \item{COMMON_POPULATION_NAME}{}
#'   \item{BROOD_YEAR}{The year that the count was made.}
#'   \item{NUMBER_OF_SPAWNERS}{Spawners count. -99 means missing count.}
#'   \item{FRACWILD}{Fraction wild. -99 means missing information.}
#' }
#' @details Downloaded from the SPS Master Oracle 2013-2014 Database on
#' January 28, 2016
"NMFS_POPID", "ESU", "SPECIES", "RUN_TIMING", "MAJOR_POPULATION_GROUP", "COMMON_POPULATION_NAME", "BROOD_YEAR", "NUMBER_OF_SPAWNERS", "FRACWILD"
153, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Alsea River", 1990, 1197, 0.65
153, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Alsea River", 1991, 1561, 0.65
153, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Alsea River", 1992, 8487, 0.74
153, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Alsea River", 1993, 1071, 0.65
153, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Alsea River", 1994, 1279, 0.65
153, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Alsea River", 1995, 681, 0.65
153, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Alsea River", 1996, 1637, 0.65
153, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Alsea River", 1997, 928, 0.65
153, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Alsea River", 1998, 1732, 0.06
153, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Alsea River", 1999, 2071, 0.65
153, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Alsea River", 2000, 3363, 1
153, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Alsea River", 2001, 3920, 0.82
153, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Alsea River", 2002, 9254, 0.98
153, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Alsea River", 2003, 10281, 1
153, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Alsea River", 2004, 5233, 1
153, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Alsea River", 2005, 13907, 1
153, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Alsea River", 2006, 1972, 1
153, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Alsea River", 2007, 2146, 1
153, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Alsea River", 2008, 13442, 0.994
153, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Alsea River", 2009, 14777, 1
153, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Alsea River", 2010, 9688, 1
153, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Alsea River", 2011, 28418, 1
153, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Alsea River", 2012, 8470, 1
153, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Alsea River", 2013, 9283, 1
155, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Beaver Creek", 1990, 90, 1
155, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Beaver Creek", 1991, 484, 1
155, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Beaver Creek", 1992, 618, 1
155, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Beaver Creek", 1993, 275, 1
155, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Beaver Creek", 1994, 675, 1
155, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Beaver Creek", 1995, 308, 1
155, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Beaver Creek", 1996, 1701, 0.76
155, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Beaver Creek", 1997, 644, 0.77
155, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Beaver Creek", 1998, 520, 0.77
155, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Beaver Creek", 1999, 1511, 1
155, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Beaver Creek", 2000, 1510, 0.97
155, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Beaver Creek", 2001, 2114, 0.87
155, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Beaver Creek", 2002, 3360, 0.96
155, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Beaver Creek", 2003, 5552, 1
155, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Beaver Creek", 2004, 4569, 1
155, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Beaver Creek", 2005, 2264, 1
155, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Beaver Creek", 2006, 2122, 0.92
155, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Beaver Creek", 2007, 611, 1
155, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Beaver Creek", 2008, 1218, 1
155, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Beaver Creek", 2009, 3575, 1
155, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Beaver Creek", 2010, 2072, 1
155, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Beaver Creek", 2011, 2389, 1
155, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Beaver Creek", 2012, 1878, 1
155, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-Coast", "Beaver Creek", 2013, 2015, 1
164, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-South Coast", "Coos River", 1990, 2273, 0.99
164, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-South Coast", "Coos River", 1991, 3813, 0.64
164, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-South Coast", "Coos River", 1992, 16979, 0.98
164, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-South Coast", "Coos River", 1993, 16072, 0.93
164, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-South Coast", "Coos River", 1994, 15207, 0.95
164, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-South Coast", "Coos River", 1995, 10447, 0.99
164, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-South Coast", "Coos River", 1996, 12128, 1
164, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-South Coast", "Coos River", 1997, 1127, 0.99
164, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-South Coast", "Coos River", 1998, 2985, 1
164, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-South Coast", "Coos River", 1999, 4818, 1
164, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-South Coast", "Coos River", 2000, 4704, 1
164, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-South Coast", "Coos River", 2001, 34259, 0.98
164, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-South Coast", "Coos River", 2002, 33265, 1
164, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-South Coast", "Coos River", 2003, 25950, 0.99
164, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-South Coast", "Coos River", 2004, 23450, 1
164, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-South Coast", "Coos River", 2005, 17305, 0.99
164, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-South Coast", "Coos River", 2006, 11266, 1
164, "Oregon Coast Coho Salmon ESU", "Coho", "-99", "Mid-South Coast", "Coos River", 2007, 1342, 0.99
