"SERIES","ESU","SPECIES","METHOD","MAJOR_POPULATION_GROUP","NMFS_POPID","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","CONTRIBUTOR","COMPILER","CITATION","LINE_NOTES"
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","1977","2752","1","84","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","1978","2398","1","30","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","1979","1335","1","30","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","1980","1054","1","30","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","1981","858","1","0","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","1982","4131","1","29","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","1983","603","1","14","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","1984","2447","1","27","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","1985","-99","1","40","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake","214","Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake","","-99","","1986","1174","1","43","Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",""
