ESU,MAJOR_POPULATION_GROUP,COMMON_POPULATION_NAME,NWR_POPULATION_NAME,NMFS_POPID,SPECIES,STREAM_NAME,START_YEAR,END_YEAR,BROOD_YEAR,VIABILITY_TYPE,RUN_TIMING,NUMBER_OF_SPAWNERS,SPAWNER_NOTES,FRACWILD,HATCHERY_FRACTION,HATCHERY_FRACTION_NOTES,CATCH,AGE_1_RETURNS,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS,AGE_1_HARVEST,AGE_2_HARVEST,AGE_3_HARVEST,AGE_4_HARVEST,AGE_5_HARVEST,AGE_6_HARVEST,AGE_7_HARVEST,REGIME
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,1977,NA,-99,2752,taken from LFA report appendixB;  Median column,1,NA,first hatchery release in 1983 so all wild until at least 1987,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,1978,NA,-99,2398,taken from LFA report appendixB;  Median column,1,NA,first hatchery release in 1983 so all wild until at least 1987,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,1979,NA,-99,1335,taken from LFA report appendixB;  Median column,1,NA,first hatchery release in 1983 so all wild until at least 1987,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,1980,NA,-99,1054,taken from LFA report appendixB;  Median column,1,NA,first hatchery release in 1983 so all wild until at least 1987,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,1981,NA,-99,858,taken from LFA report appendixB;  Median column,1,NA,first hatchery release in 1983 so all wild until at least 1987,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,1982,NA,-99,4131,taken from LFA report appendixB;  Median column,1,NA,first hatchery release in 1983 so all wild until at least 1987,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,1983,NA,-99,603,estimated based on regression between appendixB values and LFA report table3.5;  MFM column,1,NA,first hatchery release in 1983 so all wild until at least 1987,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,1984,NA,-99,2447,taken from LFA report appendixB;  Median column,1,NA,first hatchery release in 1983 so all wild until at least 1987,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,1985,NA,-99,-99,NA,1,NA,first hatchery release in 1983 so all wild until at least 1987,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,1986,NA,-99,1174,estimated based on regression between appendixB values and LFA report table3.5;  MFM column,1,NA,first hatchery release in 1983 so all wild until at least 1987,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,1987,NA,-99,-99,NA,1,NA,First documented returns to Umbrella in 1988 so still assumed all wild.,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake,Ozette Lake,Sockeye Salmon (Ozette Lake ESU) - Ozette Lake,214,Sockeye,NA,1977,2018,1988,NA,-99,6148,estimated based on regression between appendixB values and LFA report table3.5;  MFM column. AppendixB value unreliable due to only 3 days of data,-99,NA,1988-1994 no reliable numbers available  (e.g. see LFA report page 3.53). Norma assumed 0.05 of ozette run size.,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99
