#' Ozette Lake Sockeye Salmon ESU
#'
#' @description Spawner counts and fraction wild data.
#'
#' @details Downloaded from the SPS Master Oracle 2013-2014 Database on
#' January 28, 2016
#' 
#' @source 
#' 
#' @references
#' 
#' @author Monica Diaz (NOAA/NWFSC)
#' 
"NMFS_POPID", "ESU", "SPECIES", "RUN_TIMING", "MAJOR_POPULATION_GROUP", "COMMON_POPULATION_NAME", "YEAR", "NUMBER_OF_SPAWNERS", "FRACWILD"
214, "Ozette Lake Sockeye Salmon ESU", "Sockeye", "-99", "Ozette Lake", "Ozette Lake", 1977, 2752, 1
214, "Ozette Lake Sockeye Salmon ESU", "Sockeye", "-99", "Ozette Lake", "Ozette Lake", 1978, 2398, 1
214, "Ozette Lake Sockeye Salmon ESU", "Sockeye", "-99", "Ozette Lake", "Ozette Lake", 1979, 1335, 1
214, "Ozette Lake Sockeye Salmon ESU", "Sockeye", "-99", "Ozette Lake", "Ozette Lake", 1980, 1054, 1
214, "Ozette Lake Sockeye Salmon ESU", "Sockeye", "-99", "Ozette Lake", "Ozette Lake", 1981, 858, 1
214, "Ozette Lake Sockeye Salmon ESU", "Sockeye", "-99", "Ozette Lake", "Ozette Lake", 1982, 4131, 1
214, "Ozette Lake Sockeye Salmon ESU", "Sockeye", "-99", "Ozette Lake", "Ozette Lake", 1983, 1114, 1
214, "Ozette Lake Sockeye Salmon ESU", "Sockeye", "-99", "Ozette Lake", "Ozette Lake", 1984, 2447, 1
214, "Ozette Lake Sockeye Salmon ESU", "Sockeye", "-99", "Ozette Lake", "Ozette Lake", 1985, 1991, 1
214, "Ozette Lake Sockeye Salmon ESU", "Sockeye", "-99", "Ozette Lake", "Ozette Lake", 1986, 1545, 1
214, "Ozette Lake Sockeye Salmon ESU", "Sockeye", "-99", "Ozette Lake", "Ozette Lake", 1987, 3424, 1
214, "Ozette Lake Sockeye Salmon ESU", "Sockeye", "-99", "Ozette Lake", "Ozette Lake", 1988, 5313, -99
214, "Ozette Lake Sockeye Salmon ESU", "Sockeye", "-99", "Ozette Lake", "Ozette Lake", 1989, 1671, -99
214, "Ozette Lake Sockeye Salmon ESU", "Sockeye", "-99", "Ozette Lake", "Ozette Lake", 1990, 699, -99
214, "Ozette Lake Sockeye Salmon ESU", "Sockeye", "-99", "Ozette Lake", "Ozette Lake", 1991, 1780, -99
214, "Ozette Lake Sockeye Salmon ESU", "Sockeye", "-99", "Ozette Lake", "Ozette Lake", 1992, 4058, -99
214, "Ozette Lake Sockeye Salmon ESU", "Sockeye", "-99", "Ozette Lake", "Ozette Lake", 1993, 984, -99
214, "Ozette Lake Sockeye Salmon ESU", "Sockeye", "-99", "Ozette Lake", "Ozette Lake", 1994, 964, -99
214, "Ozette Lake Sockeye Salmon ESU", "Sockeye", "-99", "Ozette Lake", "Ozette Lake", 1995, 986, -99
214, "Ozette Lake Sockeye Salmon ESU", "Sockeye", "-99", "Ozette Lake", "Ozette Lake", 1996, 3931, -99
214, "Ozette Lake Sockeye Salmon ESU", "Sockeye", "-99", "Ozette Lake", "Ozette Lake", 1997, 1346, -99
214, "Ozette Lake Sockeye Salmon ESU", "Sockeye", "-99", "Ozette Lake", "Ozette Lake", 1998, 1882, -99
214, "Ozette Lake Sockeye Salmon ESU", "Sockeye", "-99", "Ozette Lake", "Ozette Lake", 1999, 2620, -99
214, "Ozette Lake Sockeye Salmon ESU", "Sockeye", "-99", "Ozette Lake", "Ozette Lake", 2000, 4856, 0.87
214, "Ozette Lake Sockeye Salmon ESU", "Sockeye", "-99", "Ozette Lake", "Ozette Lake", 2001, 4088, 0.93
214, "Ozette Lake Sockeye Salmon ESU", "Sockeye", "-99", "Ozette Lake", "Ozette Lake", 2002, 3820, 0.88
214, "Ozette Lake Sockeye Salmon ESU", "Sockeye", "-99", "Ozette Lake", "Ozette Lake", 2003, 4876, 0.99
214, "Ozette Lake Sockeye Salmon ESU", "Sockeye", "-99", "Ozette Lake", "Ozette Lake", 2004, 4611, 0.89
214, "Ozette Lake Sockeye Salmon ESU", "Sockeye", "-99", "Ozette Lake", "Ozette Lake", 2005, 1721, 0.78
214, "Ozette Lake Sockeye Salmon ESU", "Sockeye", "-99", "Ozette Lake", "Ozette Lake", 2006, 2075, 0.85
214, "Ozette Lake Sockeye Salmon ESU", "Sockeye", "-99", "Ozette Lake", "Ozette Lake", 2007, 741, 1
214, "Ozette Lake Sockeye Salmon ESU", "Sockeye", "-99", "Ozette Lake", "Ozette Lake", 2008, 2151, 0.92
214, "Ozette Lake Sockeye Salmon ESU", "Sockeye", "-99", "Ozette Lake", "Ozette Lake", 2009, 4769, 0.91
214, "Ozette Lake Sockeye Salmon ESU", "Sockeye", "-99", "Ozette Lake", "Ozette Lake", 2010, 4168, 1
214, "Ozette Lake Sockeye Salmon ESU", "Sockeye", "-99", "Ozette Lake", "Ozette Lake", 2011, 2457, 0.925
