#' Puget Sound Chinook Salmon ESU
#'
#' Spawner counts and fraction wild data.
#'
#' @format A csv file.
#' \describe{
#'   \item{NMFS_POPID}{NWFSC id for the population.}
#'   \item{ESU}{}
#'   \item{SPECIES}{}
#'   \item{RUN_TIMING}{}
#'   \item{MAJOR_POPULATION_GROUP}{}
#'   \item{COMMON_POPULATION_NAME}{}
#'   \item{BROOD_YEAR}{The year that the count was made.}
#'   \item{NUMBER_OF_SPAWNERS}{Spawners count. -99 means missing count.}
#'   \item{FRACWILD}{Fraction wild. -99 means missing information.}
#' }
#' @details Downloaded from the SPS Master Oracle 2013-2014 Database on
#' January 28, 2016
"NMFS_POPID", "ESU", "SPECIES", "RUN_TIMING", "MAJOR_POPULATION_GROUP", "COMMON_POPULATION_NAME", "BROOD_YEAR", "NUMBER_OF_SPAWNERS", "FRACWILD"
34, "Puget Sound Chinook Salmon ESU", "Chinook", "Early-run", "Puget Sound Central East", "Cascade River", 1981, 295, 0.98
34, "Puget Sound Chinook Salmon ESU", "Chinook", "Early-run", "Puget Sound Central East", "Cascade River", 1982, 198, 0.98
34, "Puget Sound Chinook Salmon ESU", "Chinook", "Early-run", "Puget Sound Central East", "Cascade River", 1983, 146, 0.98
34, "Puget Sound Chinook Salmon ESU", "Chinook", "Early-run", "Puget Sound Central East", "Cascade River", 1984, 117.550465, 0.979606247
34, "Puget Sound Chinook Salmon ESU", "Chinook", "Early-run", "Puget Sound Central East", "Cascade River", 1985, 102.326449, 0.979606247
34, "Puget Sound Chinook Salmon ESU", "Chinook", "Early-run", "Puget Sound Central East", "Cascade River", 1986, 383.2000968, 0.979606247
34, "Puget Sound Chinook Salmon ESU", "Chinook", "Early-run", "Puget Sound Central East", "Cascade River", 1987, 203.6829268, 0.979606247
34, "Puget Sound Chinook Salmon ESU", "Chinook", "Early-run", "Puget Sound Central East", "Cascade River", 1988, 136.6216987, 0.979606247
34, "Puget Sound Chinook Salmon ESU", "Chinook", "Early-run", "Puget Sound Central East", "Cascade River", 1989, 220.1507002, 0.979606247
34, "Puget Sound Chinook Salmon ESU", "Chinook", "Early-run", "Puget Sound Central East", "Cascade River", 1990, 273.2319036, 0.979606247
34, "Puget Sound Chinook Salmon ESU", "Chinook", "Early-run", "Puget Sound Central East", "Cascade River", 1991, 137.6880609, 0.979606247
34, "Puget Sound Chinook Salmon ESU", "Chinook", "Early-run", "Puget Sound Central East", "Cascade River", 1992, 207.5335085, 0.979606247
