#' Puget Sound Steelhead DPS
#'
#' Spawner counts and fraction wild data.
#'
#' @format A csv file.
#' \describe{
#'   \item{NMFS_POPID}{NWFSC id for the population.}
#'   \item{ESU}{}
#'   \item{SPECIES}{}
#'   \item{RUN_TIMING}{}
#'   \item{MAJOR_POPULATION_GROUP}{}
#'   \item{COMMON_POPULATION_NAME}{}
#'   \item{BROOD_YEAR}{The year that the count was made.}
#'   \item{NUMBER_OF_SPAWNERS}{Spawners count. -99 means missing count.}
#'   \item{FRACWILD}{Fraction wild. -99 means missing information.}
#' }
#' @details Downloaded from the SPS Master Oracle 2013-2014 Database on
#' January 28, 2016
"NMFS_POPID", "ESU", "SPECIES", "RUN_TIMING", "MAJOR_POPULATION_GROUP", "COMMON_POPULATION_NAME", "BROOD_YEAR", "NUMBER_OF_SPAWNERS", "FRACWILD"
270, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Central & South Puget Sound", "Cedar River", 1981, 1668, -99
270, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Central & South Puget Sound", "Cedar River", 1982, -99, -99
270, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Central & South Puget Sound", "Cedar River", 1983, 2575, -99
270, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Central & South Puget Sound", "Cedar River", 1984, 1250, -99
270, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Central & South Puget Sound", "Cedar River", 1985, 474, -99
270, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Central & South Puget Sound", "Cedar River", 1986, 1816, -99
270, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Central & South Puget Sound", "Cedar River", 1987, 1172, -99
270, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Central & South Puget Sound", "Cedar River", 1988, 858, -99
270, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Central & South Puget Sound", "Cedar River", 1989, 686, -99
270, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Central & South Puget Sound", "Cedar River", 1990, 714, -99
270, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Central & South Puget Sound", "Cedar River", 1991, 621, -99
270, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Central & South Puget Sound", "Cedar River", 1992, 599, -99
270, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Central & South Puget Sound", "Cedar River", 1993, 184, -99
270, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Central & South Puget Sound", "Cedar River", 1994, 70, -99
270, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Central & South Puget Sound", "Cedar River", 1995, 126, -99
270, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Central & South Puget Sound", "Cedar River", 1996, 234, -99
270, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Central & South Puget Sound", "Cedar River", 1997, 620, -99
270, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Central & South Puget Sound", "Cedar River", 1998, 584, -99
270, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Central & South Puget Sound", "Cedar River", 1999, 220, -99
270, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Central & South Puget Sound", "Cedar River", 2000, 48, -99
270, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Central & South Puget Sound", "Cedar River", 2001, 42, -99
270, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Central & South Puget Sound", "Cedar River", 2002, 38, -99
270, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Central & South Puget Sound", "Cedar River", 2003, 20, -99
270, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Central & South Puget Sound", "Cedar River", 2004, 44, -99
270, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Central & South Puget Sound", "Cedar River", 2005, 22, -99
270, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Central & South Puget Sound", "Cedar River", 2006, 32, -99
270, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Central & South Puget Sound", "Cedar River", 2007, 8, -99
270, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Central & South Puget Sound", "Cedar River", 2008, 4, -99
270, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Central & South Puget Sound", "Cedar River", 2009, 0, -99
270, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Central & South Puget Sound", "Cedar River", 2010, 2, -99
270, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Central & South Puget Sound", "Cedar River", 2011, 4, -99
270, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Central & South Puget Sound", "Cedar River", 2012, 0, -99
270, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Central & South Puget Sound", "Cedar River", 2013, 8, -99
273, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Hood Canal & Strait of Juan de Fuca", "Dungeness River", 1985, -99, -99
273, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Hood Canal & Strait of Juan de Fuca", "Dungeness River", 1986, -99, -99
273, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Hood Canal & Strait of Juan de Fuca", "Dungeness River", 1987, -99, -99
273, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Hood Canal & Strait of Juan de Fuca", "Dungeness River", 1988, 438, 1
273, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Hood Canal & Strait of Juan de Fuca", "Dungeness River", 1989, 429, 1
273, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Hood Canal & Strait of Juan de Fuca", "Dungeness River", 1990, 408, 1
273, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Hood Canal & Strait of Juan de Fuca", "Dungeness River", 1991, 423, 1
273, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Hood Canal & Strait of Juan de Fuca", "Dungeness River", 1992, 292, 1
273, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Hood Canal & Strait of Juan de Fuca", "Dungeness River", 1993, 338, 1
273, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Hood Canal & Strait of Juan de Fuca", "Dungeness River", 1994, 337, 1
273, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Hood Canal & Strait of Juan de Fuca", "Dungeness River", 1995, -99, -99
273, "Puget Sound Steelhead DPS", "Steelhead", "Winter-run", "Hood Canal & Strait of Juan de Fuca", "Dungeness River", 1996, 261, 1
