#' Snake River Basin Steelhead DPS
#'
#' @description Spawner counts and fraction wild data.
#'
#' @details Downloaded from the SPS Master Oracle 2013-2014 Database on
#' January 28, 2016
#' 
#' @source 
#' 
#' @references
#' 
#' @author Monica Diaz (NOAA/NWFSC)
#' 
"NMFS_POPID", "ESU", "SPECIES", "RUN_TIMING", "MAJOR_POPULATION_GROUP", "COMMON_POPULATION_NAME", "YEAR", "NUMBER_OF_SPAWNERS", "FRACWILD"
306, "Snake River Basin Steelhead DPS", "Steelhead", "Summer-run", "Grande Ronde River", "Grande Ronde River Upper Mainstem", 1967, 5422, 1
306, "Snake River Basin Steelhead DPS", "Steelhead", "Summer-run", "Grande Ronde River", "Grande Ronde River Upper Mainstem", 1968, 1988, 1
306, "Snake River Basin Steelhead DPS", "Steelhead", "Summer-run", "Grande Ronde River", "Grande Ronde River Upper Mainstem", 1969, 3343, 1
306, "Snake River Basin Steelhead DPS", "Steelhead", "Summer-run", "Grande Ronde River", "Grande Ronde River Upper Mainstem", 1970, 1401, 1
306, "Snake River Basin Steelhead DPS", "Steelhead", "Summer-run", "Grande Ronde River", "Grande Ronde River Upper Mainstem", 1971, 2304, 1
306, "Snake River Basin Steelhead DPS", "Steelhead", "Summer-run", "Grande Ronde River", "Grande Ronde River Upper Mainstem", 1972, 2304, 1
306, "Snake River Basin Steelhead DPS", "Steelhead", "Summer-run", "Grande Ronde River", "Grande Ronde River Upper Mainstem", 1973, 4473, 1
306, "Snake River Basin Steelhead DPS", "Steelhead", "Summer-run", "Grande Ronde River", "Grande Ronde River Upper Mainstem", 1974, 723, 1
306, "Snake River Basin Steelhead DPS", "Steelhead", "Summer-run", "Grande Ronde River", "Grande Ronde River Upper Mainstem", 1975, 768, 1
306, "Snake River Basin Steelhead DPS", "Steelhead", "Summer-run", "Grande Ronde River", "Grande Ronde River Upper Mainstem", 1976, 316, 1
306, "Snake River Basin Steelhead DPS", "Steelhead", "Summer-run", "Grande Ronde River", "Grande Ronde River Upper Mainstem", 1977, 1762, 1
306, "Snake River Basin Steelhead DPS", "Steelhead", "Summer-run", "Grande Ronde River", "Grande Ronde River Upper Mainstem", 1978, 1581, 1
306, "Snake River Basin Steelhead DPS", "Steelhead", "Summer-run", "Grande Ronde River", "Grande Ronde River Upper Mainstem", 1979, 90, 1
306, "Snake River Basin Steelhead DPS", "Steelhead", "Summer-run", "Grande Ronde River", "Grande Ronde River Upper Mainstem", 1980, 3072, 1
306, "Snake River Basin Steelhead DPS", "Steelhead", "Summer-run", "Grande Ronde River", "Grande Ronde River Upper Mainstem", 1981, 542, 1
306, "Snake River Basin Steelhead DPS", "Steelhead", "Summer-run", "Grande Ronde River", "Grande Ronde River Upper Mainstem", 1982, 858, 1
306, "Snake River Basin Steelhead DPS", "Steelhead", "Summer-run", "Grande Ronde River", "Grande Ronde River Upper Mainstem", 1983, 1672, 1
306, "Snake River Basin Steelhead DPS", "Steelhead", "Summer-run", "Grande Ronde River", "Grande Ronde River Upper Mainstem", 1984, 633, 1
306, "Snake River Basin Steelhead DPS", "Steelhead", "Summer-run", "Grande Ronde River", "Grande Ronde River Upper Mainstem", 1985, 6461, 1
306, "Snake River Basin Steelhead DPS", "Steelhead", "Summer-run", "Grande Ronde River", "Grande Ronde River Upper Mainstem", 1986, 3253, 1
306, "Snake River Basin Steelhead DPS", "Steelhead", "Summer-run", "Grande Ronde River", "Grande Ronde River Upper Mainstem", 1987, 2530, 1
