#' Snake River Fall-run Chinook Salmon ESU
#'
#' @description Spawner counts and fraction wild data.
#'
#' @details Downloaded from the SPS Master Oracle 2013-2014 Database on
#' January 28, 2016
#' 
#' @source 
#' 
#' @references
#' 
#' @author Monica Diaz (NOAA/NWFSC)
#' 
"NMFS_POPID", "ESU", "SPECIES", "RUN_TIMING", "MAJOR_POPULATION_GROUP", "COMMON_POPULATION_NAME", "YEAR", "NUMBER_OF_SPAWNERS", "FRACWILD"
56, "Snake River Fall-run Chinook Salmon ESU", "Chinook", "Fall-run", "Snake River", "Snake River Lower Mainstem", 1975, 1000, 1
56, "Snake River Fall-run Chinook Salmon ESU", "Chinook", "Fall-run", "Snake River", "Snake River Lower Mainstem", 1976, 470, 1
56, "Snake River Fall-run Chinook Salmon ESU", "Chinook", "Fall-run", "Snake River", "Snake River Lower Mainstem", 1977, 600, 1
56, "Snake River Fall-run Chinook Salmon ESU", "Chinook", "Fall-run", "Snake River", "Snake River Lower Mainstem", 1978, 640, 1
56, "Snake River Fall-run Chinook Salmon ESU", "Chinook", "Fall-run", "Snake River", "Snake River Lower Mainstem", 1979, 500, 1
56, "Snake River Fall-run Chinook Salmon ESU", "Chinook", "Fall-run", "Snake River", "Snake River Lower Mainstem", 1980, 450, 1
56, "Snake River Fall-run Chinook Salmon ESU", "Chinook", "Fall-run", "Snake River", "Snake River Lower Mainstem", 1981, 340, 1
56, "Snake River Fall-run Chinook Salmon ESU", "Chinook", "Fall-run", "Snake River", "Snake River Lower Mainstem", 1982, 720, 1
56, "Snake River Fall-run Chinook Salmon ESU", "Chinook", "Fall-run", "Snake River", "Snake River Lower Mainstem", 1983, 532, 0.805
56, "Snake River Fall-run Chinook Salmon ESU", "Chinook", "Fall-run", "Snake River", "Snake River Lower Mainstem", 1984, 618, 0.524
56, "Snake River Fall-run Chinook Salmon ESU", "Chinook", "Fall-run", "Snake River", "Snake River Lower Mainstem", 1985, 673, 0.651
56, "Snake River Fall-run Chinook Salmon ESU", "Chinook", "Fall-run", "Snake River", "Snake River Lower Mainstem", 1986, 761, 0.59
56, "Snake River Fall-run Chinook Salmon ESU", "Chinook", "Fall-run", "Snake River", "Snake River Lower Mainstem", 1987, 902, 0.28
56, "Snake River Fall-run Chinook Salmon ESU", "Chinook", "Fall-run", "Snake River", "Snake River Lower Mainstem", 1988, 609, 0.604
56, "Snake River Fall-run Chinook Salmon ESU", "Chinook", "Fall-run", "Snake River", "Snake River Lower Mainstem", 1989, 677, 0.436
56, "Snake River Fall-run Chinook Salmon ESU", "Chinook", "Fall-run", "Snake River", "Snake River Lower Mainstem", 1990, 317, 0.246
56, "Snake River Fall-run Chinook Salmon ESU", "Chinook", "Fall-run", "Snake River", "Snake River Lower Mainstem", 1991, 571, 0.557
56, "Snake River Fall-run Chinook Salmon ESU", "Chinook", "Fall-run", "Snake River", "Snake River Lower Mainstem", 1992, 660, 0.832
56, "Snake River Fall-run Chinook Salmon ESU", "Chinook", "Fall-run", "Snake River", "Snake River Lower Mainstem", 1993, 937, 0.792
56, "Snake River Fall-run Chinook Salmon ESU", "Chinook", "Fall-run", "Snake River", "Snake River Lower Mainstem", 1994, 592, 0.686
56, "Snake River Fall-run Chinook Salmon ESU", "Chinook", "Fall-run", "Snake River", "Snake River Lower Mainstem", 1995, 617, 0.567
56, "Snake River Fall-run Chinook Salmon ESU", "Chinook", "Fall-run", "Snake River", "Snake River Lower Mainstem", 1996, 899, 0.711
56, "Snake River Fall-run Chinook Salmon ESU", "Chinook", "Fall-run", "Snake River", "Snake River Lower Mainstem", 1997, 992, 0.803
56, "Snake River Fall-run Chinook Salmon ESU", "Chinook", "Fall-run", "Snake River", "Snake River Lower Mainstem", 1998, 916, 0.334
56, "Snake River Fall-run Chinook Salmon ESU", "Chinook", "Fall-run", "Snake River", "Snake River Lower Mainstem", 1999, 1795, 0.504
56, "Snake River Fall-run Chinook Salmon ESU", "Chinook", "Fall-run", "Snake River", "Snake River Lower Mainstem", 2000, 2558, 0.449
56, "Snake River Fall-run Chinook Salmon ESU", "Chinook", "Fall-run", "Snake River", "Snake River Lower Mainstem", 2001, 9545, 0.541
56, "Snake River Fall-run Chinook Salmon ESU", "Chinook", "Fall-run", "Snake River", "Snake River Lower Mainstem", 2002, 9347, 0.226
56, "Snake River Fall-run Chinook Salmon ESU", "Chinook", "Fall-run", "Snake River", "Snake River Lower Mainstem", 2003, 12429, 0.278
56, "Snake River Fall-run Chinook Salmon ESU", "Chinook", "Fall-run", "Snake River", "Snake River Lower Mainstem", 2004, 15610, 0.39
56, "Snake River Fall-run Chinook Salmon ESU", "Chinook", "Fall-run", "Snake River", "Snake River Lower Mainstem", 2005, 9924, 0.462
56, "Snake River Fall-run Chinook Salmon ESU", "Chinook", "Fall-run", "Snake River", "Snake River Lower Mainstem", 2006, 6485, 0.614
56, "Snake River Fall-run Chinook Salmon ESU", "Chinook", "Fall-run", "Snake River", "Snake River Lower Mainstem", 2007, 8354, 0.337
56, "Snake River Fall-run Chinook Salmon ESU", "Chinook", "Fall-run", "Snake River", "Snake River Lower Mainstem", 2008, 11925, 0.251
56, "Snake River Fall-run Chinook Salmon ESU", "Chinook", "Fall-run", "Snake River", "Snake River Lower Mainstem", 2009, 20685, 0.207
