#' Snake River Spring-Summer-run Chinook Salmon ESU
#'
#' Spawner counts and fraction wild data.
#'
#' @format A csv file.
#' \describe{
#'   \item{NMFS_POPID}{NWFSC id for the population.}
#'   \item{ESU}{}
#'   \item{SPECIES}{}
#'   \item{RUN_TIMING}{}
#'   \item{MAJOR_POPULATION_GROUP}{}
#'   \item{COMMON_POPULATION_NAME}{}
#'   \item{BROOD_YEAR}{The year that the count was made.}
#'   \item{NUMBER_OF_SPAWNERS}{Spawners count. -99 means missing count.}
#'   \item{FRACWILD}{Fraction wild. -99 means missing information.}
#' }
#' @details Downloaded from the SPS Master Oracle 2013-2014 Database on
#' January 28, 2016
"NMFS_POPID", "ESU", "SPECIES", "RUN_TIMING", "MAJOR_POPULATION_GROUP", "COMMON_POPULATION_NAME", "BROOD_YEAR", "NUMBER_OF_SPAWNERS", "FRACWILD"
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1957, 2004, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1958, 1270, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1959, 1588, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1960, 1385, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1961, 2377, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1962, 1722, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1963, 2108, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1964, 1894, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1965, 953, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1966, 2004, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1967, 1637, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1968, 2000, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1969, 1334, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1970, 1203, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1971, 531, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1972, 819, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1973, 1442, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1974, 450, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1975, 726, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1976, 259, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1977, 406, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1978, 741, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1979, 223, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1980, 43, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1981, 157, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1982, 90, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1983, 177, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1984, 155, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1985, 306, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1986, 244, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1987, 475, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1988, 1160, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1989, 94, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1990, 196, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1991, 191, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1992, 185, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1993, 738, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1994, 34, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1995, 17, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1996, 60, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1997, 234, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1998, 391, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 1999, 81, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 2000, 325, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 2001, 740, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 2002, 1177, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 2003, 1315, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 2004, 342, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 2005, 306, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 2006, 158, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 2007, 312, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 2008, 437, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 2009, 501, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 2010, 791, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 2011, 757, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 2012, 940, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 2013, 505, 1
58, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Bear Valley Creek", 2014, 993, 1
59, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Big Creek", 1957, 1097, 1
59, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Big Creek", 1958, 629, 1
59, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Big Creek", 1959, 429, 1
59, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Big Creek", 1960, 756, 1
59, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Big Creek", 1961, 1838, 1
59, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Big Creek", 1962, 1087, 1
59, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Big Creek", 1963, 721, 1
59, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Big Creek", 1964, 248, 1
59, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Big Creek", 1965, 356, 1
59, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Big Creek", 1966, 599, 1
59, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Big Creek", 1967, 326, 1
59, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Big Creek", 1968, 438, 1
59, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Big Creek", 1969, 317, 1
59, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Big Creek", 1970, 331, 1
59, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Big Creek", 1971, 156, 1
59, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Big Creek", 1972, 292, 1
59, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Big Creek", 1973, 468, 1
59, "Snake River Spring/Summer-run Chinook Salmon ESU", "Chinook", "Spring/Summer-run", "Middle Fork Salmon River", "Big Creek", 1974, 136, 1
