#' Upper Columbia River Spring-run Chinook Salmon ESU
#'
#' Spawner counts and fraction wild data.
#'
#' @format A csv file.
#' \describe{
#'   \item{NMFS_POPID}{NWFSC id for the population.}
#'   \item{ESU}{}
#'   \item{SPECIES}{}
#'   \item{RUN_TIMING}{}
#'   \item{MAJOR_POPULATION_GROUP}{}
#'   \item{COMMON_POPULATION_NAME}{}
#'   \item{BROOD_YEAR}{The year that the count was made.}
#'   \item{NUMBER_OF_SPAWNERS}{Spawners count. -99 means missing count.}
#'   \item{FRACWILD}{Fraction wild. -99 means missing information.}
#' }
#' @details Downloaded from the SPS Master Oracle 2013-2014 Database on
#' January 28, 2016
"NMFS_POPID", "ESU", "SPECIES", "RUN_TIMING", "MAJOR_POPULATION_GROUP", "COMMON_POPULATION_NAME", "BROOD_YEAR", "NUMBER_OF_SPAWNERS", "FRACWILD"
100, "Upper Columbia River Spring-run Chinook Salmon ESU", "Chinook", "Spring-run", "Upper Columbia / East Slope Cascades", "Entiat River", 1960, 454, 1
100, "Upper Columbia River Spring-run Chinook Salmon ESU", "Chinook", "Spring-run", "Upper Columbia / East Slope Cascades", "Entiat River", 1961, 171, 1
100, "Upper Columbia River Spring-run Chinook Salmon ESU", "Chinook", "Spring-run", "Upper Columbia / East Slope Cascades", "Entiat River", 1962, 446, 1
100, "Upper Columbia River Spring-run Chinook Salmon ESU", "Chinook", "Spring-run", "Upper Columbia / East Slope Cascades", "Entiat River", 1963, 562, 1
100, "Upper Columbia River Spring-run Chinook Salmon ESU", "Chinook", "Spring-run", "Upper Columbia / East Slope Cascades", "Entiat River", 1964, 1489, 1
100, "Upper Columbia River Spring-run Chinook Salmon ESU", "Chinook", "Spring-run", "Upper Columbia / East Slope Cascades", "Entiat River", 1965, 403, 1
100, "Upper Columbia River Spring-run Chinook Salmon ESU", "Chinook", "Spring-run", "Upper Columbia / East Slope Cascades", "Entiat River", 1966, 1190, 1
100, "Upper Columbia River Spring-run Chinook Salmon ESU", "Chinook", "Spring-run", "Upper Columbia / East Slope Cascades", "Entiat River", 1967, 977, 1
100, "Upper Columbia River Spring-run Chinook Salmon ESU", "Chinook", "Spring-run", "Upper Columbia / East Slope Cascades", "Entiat River", 1968, 977, 1
100, "Upper Columbia River Spring-run Chinook Salmon ESU", "Chinook", "Spring-run", "Upper Columbia / East Slope Cascades", "Entiat River", 1969, 322, 1
100, "Upper Columbia River Spring-run Chinook Salmon ESU", "Chinook", "Spring-run", "Upper Columbia / East Slope Cascades", "Entiat River", 1970, 271, 1
100, "Upper Columbia River Spring-run Chinook Salmon ESU", "Chinook", "Spring-run", "Upper Columbia / East Slope Cascades", "Entiat River", 1971, 527, 1
100, "Upper Columbia River Spring-run Chinook Salmon ESU", "Chinook", "Spring-run", "Upper Columbia / East Slope Cascades", "Entiat River", 1972, 236, 1
