#' Upper Columbia River Steelhead DPS
#'
#' Spawner counts and fraction wild data.
#'
#' @format A csv file.
#' \describe{
#'   \item{NMFS_POPID}{NWFSC id for the population.}
#'   \item{ESU}{}
#'   \item{SPECIES}{}
#'   \item{RUN_TIMING}{}
#'   \item{MAJOR_POPULATION_GROUP}{}
#'   \item{COMMON_POPULATION_NAME}{}
#'   \item{BROOD_YEAR}{The year that the count was made.}
#'   \item{NUMBER_OF_SPAWNERS}{Spawners count. -99 means missing count.}
#'   \item{FRACWILD}{Fraction wild. -99 means missing information.}
#' }
#' @details Downloaded from the SPS Master Oracle 2013-2014 Database on
#' January 28, 2016
"NMFS_POPID", "ESU", "SPECIES", "RUN_TIMING", "MAJOR_POPULATION_GROUP", "COMMON_POPULATION_NAME", "BROOD_YEAR", "NUMBER_OF_SPAWNERS", "FRACWILD"
328, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Entiat River", 1978, 315, 0.13
328, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Entiat River", 1979, 138, 0.17
328, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Entiat River", 1980, 161, 0.21
328, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Entiat River", 1981, 137, 0.25
328, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Entiat River", 1982, 184, 0.17
328, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Entiat River", 1983, 234, 0.18
328, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Entiat River", 1984, 29, 0.38
328, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Entiat River", 1985, 72, 0.4
328, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Entiat River", 1986, 380, 0.23
328, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Entiat River", 1987, 261, 0.4
328, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Entiat River", 1988, 418, 0.44
328, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Entiat River", 1989, 165, 0.69
328, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Entiat River", 1990, 288, 0.38
328, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Entiat River", 1991, 207, 0.27
328, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Entiat River", 1992, 111, 0.94
328, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Entiat River", 1993, 82, 0.76
328, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Entiat River", 1994, 80, 0.45
328, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Entiat River", 1995, 126, 0.28
328, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Entiat River", 1996, 156, 0.31
328, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Entiat River", 1997, 132, 0.23
328, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Entiat River", 1998, 427, 0.09
328, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Entiat River", 1999, 291, 0.13
328, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Entiat River", 2000, 211, 0.24
328, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Entiat River", 2001, 380, 0.26
328, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Entiat River", 2002, 794, 0.33
328, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Entiat River", 2003, 456, 0.26
328, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Entiat River", 2004, 987, 0.09
328, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Entiat River", 2005, 892, 0.13
328, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Entiat River", 2006, 462, 0.28
328, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Entiat River", 2007, 266, 0.22
328, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Entiat River", 2008, 278, 0.44
328, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Entiat River", 2009, 693, 0.15
328, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Entiat River", 2010, 1033, 0.29
328, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Entiat River", 2011, 892, 0.328
328, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Entiat River", 2012, 747, 0.254
328, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Entiat River", 2013, 519, 0.248
328, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Entiat River", 2014, 456, 0.41
329, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Methow River", 1977, 336, 0.119
329, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Methow River", 1978, 932, 0.119
329, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Methow River", 1979, 22, 0.119
329, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Methow River", 1980, 627, 0.119
329, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Methow River", 1981, 385, 0.119
329, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Methow River", 1982, 892, 0.119
329, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Methow River", 1983, 913, 0.078
329, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Methow River", 1984, 2909, 0.016
329, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Methow River", 1985, 2934, 0.03
329, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Methow River", 1986, 4188, 0.052
329, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Methow River", 1987, 2738, 0.036
329, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Methow River", 1988, 1539, 0.261
329, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Methow River", 1989, 1165, 0.255
329, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Methow River", 1990, 1346, 0.28
329, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Methow River", 1991, 925, 0.318
329, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Methow River", 1992, 2147, 0.239
329, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Methow River", 1993, 1616, 0.145
329, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Methow River", 1994, 591, 0.195
329, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Methow River", 1995, 676, 0.159
329, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Methow River", 1996, 234, 0.304
329, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Methow River", 1997, 1484, 0.099
329, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Methow River", 1998, 2058, 0.033
329, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Methow River", 1999, 1417, 0.092
329, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Methow River", 2000, 1886, 0.136
329, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Methow River", 2001, 3326, 0.1
329, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Methow River", 2002, 9743, 0.057
329, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Methow River", 2003, 4557, 0.11
329, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Methow River", 2004, 4852, 0.133
329, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Methow River", 2005, 4183, 0.116
329, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Methow River", 2006, 3093, 0.136
329, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Methow River", 2007, 3234, 0.113
329, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Methow River", 2008, 3070, 0.224
329, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Methow River", 2009, 3879, 0.164
329, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Methow River", 2010, 7781, 0.142
329, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Methow River", 2011, 3102, 0.318
329, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Methow River", 2012, 4204, 0.183
329, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Methow River", 2013, 3225, 0.153
329, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Methow River", 2014, 2548, 0.4
330, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Okanogan River", 1977, 1041, 0.07
330, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Okanogan River", 1978, 1472, 0.07
330, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Okanogan River", 1979, 344, 0.07
330, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Okanogan River", 1980, 974, 0.07
330, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Okanogan River", 1981, 603, 0.07
330, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Okanogan River", 1982, 1403, 0.07
330, "Upper Columbia River Steelhead DPS", "Steelhead", "Summer-run", "Upper Columbia / East Slope Cascades", "Okanogan River", 1983, 1362, 0.04
