#' Upper Willamette River Chinook Salmon ESU
#'
#' @description Spawner counts and fraction wild data.
#'
#' @details Downloaded from the SPS Master Oracle 2013-2014 Database on
#' January 28, 2016
#' 
#' @source 
#' 
#' @references
#' 
#' @author Monica Diaz (NOAA/NWFSC)
#' 
"NMFS_POPID", "ESU", "SPECIES", "RUN_TIMING", "MAJOR_POPULATION_GROUP", "COMMON_POPULATION_NAME", "YEAR", "NUMBER_OF_SPAWNERS", "FRACWILD"
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 1974, 549, 0.33
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 1975, 442, 0.33
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 1976, 528, 0.33
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 1977, 531, 0.33
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 1978, 508, 0.33
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 1979, 722, 0.33
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 1980, 2589, 0.33
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 1981, 3642, 0.33
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 1982, 3550, 0.33
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 1983, 3170, 0.33
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 1984, 3334, 0.33
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 1985, 2067, 0.33
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 1986, 2192, 0.33
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 1987, 2785, 0.33
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 1988, 3769, 0.33
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 1989, 3481, 0.33
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 1990, 4133, 0.33
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 1991, 5592, 0.33
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 1992, 4287, 0.33
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 1993, 3732, 0.33
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 1994, 2636, 0.33
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 1995, 2000, 0.33
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 1996, 1083, 0.33
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 1997, 1546, 0.33
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 1998, 1702, 0.33
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 1999, 1049, 0.33
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 2000, 2596, 0.33
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 2001, 4474, 0.33
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 2002, 3434, 0.54
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 2003, 5492, 0.59
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 2004, 8056, 0.61
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 2005, 4155, 0.53
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 2006, 1520, 0.64
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 2007, 2383, 0.6
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 2008, 1886, 0.63
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 2009, -99, -99
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 2010, -99, -99
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 2011, -99, -99
104, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "Clackamas River", 2012, 1707, 0.994
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 1970, 2857, 1
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 1971, 3451, 0.89
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 1972, 1478, 0.86
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 1973, 3742, 0.86
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 1974, 3657, 1
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 1975, 1300, 1
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 1976, 1833, 0.4
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 1977, 2650, 0.63
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 1978, 3020, 0.33
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 1979, 1107, 0.63
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 1980, 1972, 0.67
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 1981, 1087, 0.58
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 1982, 1706, 0.43
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 1983, 1405, 0.73
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 1984, 921, 0.63
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 1985, 808, 0.63
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 1986, 1736, 0.43
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 1987, 2933, 0.71
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 1988, 6613, 0.78
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 1989, 3852, 0.59
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 1990, 6988, 0.77
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 1991, 4287, 0.47
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 1992, 3679, 0.54
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 1993, 3554, 0.71
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 1994, 1507, 0.54
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 1995, 1577, 0.58
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 1996, 1432, 0.76
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 1997, 1110, 0.84
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 1998, 1848, 0.76
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 1999, 1862, 0.72
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 2000, 2533, 0.75
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 2001, 4428, 0.76
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 2002, 5679.446966, 0.59172933
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 2003, 7794.674629, 0.536017345
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 2004, 6949.087565, 0.57298923
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 2005, 2658.268935, 0.803091272
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 2006, 2585.293915, 0.792750142
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 2007, 3284.810195, 0.779956382
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 2008, 2104.828193, 0.659168121
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 2009, 1882.55911, 0.633465175
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 2010, 2789.134319, 0.453796853
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 2011, 3266, 0.768922229
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 2012, 2524, 0.700701268
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 2013, 1661.5, 0.723329822
105, "Upper Willamette River Chinook Salmon ESU", "Chinook", "Spring-run", "Willamette", "McKenzie River", 2014, 1522, 0.614
