#' Upper Willamette River Steelhead DPS
#'
#' @description Spawner counts and fraction wild data.
#'
#' @details Downloaded from the SPS Master Oracle 2013-2014 Database on
#' January 28, 2016
#' 
#' @source 
#' 
#' @references
#' 
#' @author Monica Diaz (NOAA/NWFSC)
#' 
"NMFS_POPID", "ESU", "SPECIES", "RUN_TIMING", "MAJOR_POPULATION_GROUP", "COMMON_POPULATION_NAME", "YEAR", "NUMBER_OF_SPAWNERS", "FRACWILD"
332, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "Calapooia River", 1980, 281, 1
332, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "Calapooia River", 1981, 193, 1
332, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "Calapooia River", 1982, 470, 1
332, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "Calapooia River", 1983, 379, 1
332, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "Calapooia River", 1984, 407, 1
332, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "Calapooia River", 1985, 555, 1
332, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "Calapooia River", 1986, 459, 1
332, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "Calapooia River", 1987, 481, 1
332, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "Calapooia River", 1988, 439, 1
332, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "Calapooia River", 1989, 183, 1
332, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "Calapooia River", 1990, 321, 1
332, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "Calapooia River", 1991, 309, 1
332, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "Calapooia River", 1992, 119, 1
332, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "Calapooia River", 1993, 39, 1
332, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "Calapooia River", 1994, 161, 1
332, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "Calapooia River", 1995, 109, 1
332, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "Calapooia River", 1996, 195, 1
332, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "Calapooia River", 1997, 253, 1
332, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "Calapooia River", 1998, 358, 1
332, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "Calapooia River", 1999, 264, 1
332, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "Calapooia River", 2000, 225, 1
332, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "Calapooia River", 2001, 446, 1
332, "Upper Willamette River Steelhead DPS", "Steelhead", "Winter-run", "Willamette", "Calapooia River", 2002, 351, 1
