#' @title Columbia River Chum Salmon ESU
#'
#' @description Spawner counts and fraction wild data. More information.
#'
#' @details Downloaded from the SPS Master Oracle 2013-2014 Database on
#' January 28, 2016
#' 
#' @source 
#' 
#' @references
#' 
#' @author Monica Diaz (NOAA/NWFSC)
#' 
"NMFS_POPID", "ESU", "SPECIES", "RUN_TIMING", "MAJOR_POPULATION_GROUP", "COMMON_POPULATION_NAME", "YEAR", "NUMBER_OF_SPAWNERS", "FRACWILD"
115, "Columbia River Chum Salmon ESU", "Chum", "-99", "Coastal", "Grays and Chinook Rivers", 1999, 320, -99
115, "Columbia River Chum Salmon ESU", "Chum", "-99", "Coastal", "Grays and Chinook Rivers", 2000, 501, -99
115, "Columbia River Chum Salmon ESU", "Chum", "-99", "Coastal", "Grays and Chinook Rivers", 2001, 4742, 0.9
115, "Columbia River Chum Salmon ESU", "Chum", "-99", "Coastal", "Grays and Chinook Rivers", 2002, 11713, 0.9
115, "Columbia River Chum Salmon ESU", "Chum", "-99", "Coastal", "Grays and Chinook Rivers", 2003, 16669, 0.93
115, "Columbia River Chum Salmon ESU", "Chum", "-99", "Coastal", "Grays and Chinook Rivers", 2004, 13717, 0.96
115, "Columbia River Chum Salmon ESU", "Chum", "-99", "Coastal", "Grays and Chinook Rivers", 2005, 4204, 0.9
115, "Columbia River Chum Salmon ESU", "Chum", "-99", "Coastal", "Grays and Chinook Rivers", 2006, 6706, 0.93
115, "Columbia River Chum Salmon ESU", "Chum", "-99", "Coastal", "Grays and Chinook Rivers", 2007, 3999, 0.95
115, "Columbia River Chum Salmon ESU", "Chum", "-99", "Coastal", "Grays and Chinook Rivers", 2008, 2607, 0.92
115, "Columbia River Chum Salmon ESU", "Chum", "-99", "Coastal", "Grays and Chinook Rivers", 2009, 2876, 0.97
115, "Columbia River Chum Salmon ESU", "Chum", "-99", "Coastal", "Grays and Chinook Rivers", 2010, 6380, 0.95
115, "Columbia River Chum Salmon ESU", "Chum", "-99", "Coastal", "Grays and Chinook Rivers", 2011, 10809, 0.93
115, "Columbia River Chum Salmon ESU", "Chum", "-99", "Coastal", "Grays and Chinook Rivers", 2012, 8009, 0.97
115, "Columbia River Chum Salmon ESU", "Chum", "-99", "Coastal", "Grays and Chinook Rivers", 2013, 5134, 0.94
118, "Columbia River Chum Salmon ESU", "Chum", "-99", "Gorge", "Lower Gorge Tributaries", 1999, 199, -99
118, "Columbia River Chum Salmon ESU", "Chum", "-99", "Gorge", "Lower Gorge Tributaries", 2000, 1265, -99
118, "Columbia River Chum Salmon ESU", "Chum", "-99", "Gorge", "Lower Gorge Tributaries", 2001, 2032, -99
118, "Columbia River Chum Salmon ESU", "Chum", "-99", "Gorge", "Lower Gorge Tributaries", 2002, 7954, -99
118, "Columbia River Chum Salmon ESU", "Chum", "-99", "Gorge", "Lower Gorge Tributaries", 2003, 3381, -99
118, "Columbia River Chum Salmon ESU", "Chum", "-99", "Gorge", "Lower Gorge Tributaries", 2004, 2103, 1
118, "Columbia River Chum Salmon ESU", "Chum", "-99", "Gorge", "Lower Gorge Tributaries", 2005, 940, 0.96
118, "Columbia River Chum Salmon ESU", "Chum", "-99", "Gorge", "Lower Gorge Tributaries", 2006, 1605, 1
118, "Columbia River Chum Salmon ESU", "Chum", "-99", "Gorge", "Lower Gorge Tributaries", 2007, 509, 1
118, "Columbia River Chum Salmon ESU", "Chum", "-99", "Gorge", "Lower Gorge Tributaries", 2008, 601, 0.96
118, "Columbia River Chum Salmon ESU", "Chum", "-99", "Gorge", "Lower Gorge Tributaries", 2009, 598, 0.96
118, "Columbia River Chum Salmon ESU", "Chum", "-99", "Gorge", "Lower Gorge Tributaries", 2010, 1634, 1
118, "Columbia River Chum Salmon ESU", "Chum", "-99", "Gorge", "Lower Gorge Tributaries", 2011, 2315, 1
118, "Columbia River Chum Salmon ESU", "Chum", "-99", "Gorge", "Lower Gorge Tributaries", 2012, 960, 1
118, "Columbia River Chum Salmon ESU", "Chum", "-99", "Gorge", "Lower Gorge Tributaries", 2013, 1234, 1
123, "Columbia River Chum Salmon ESU", "Chum", "-99", "Gorge", "Upper Gorge Tributaries", 2002, 72, -99
123, "Columbia River Chum Salmon ESU", "Chum", "-99", "Gorge", "Upper Gorge Tributaries", 2003, 326, -99
123, "Columbia River Chum Salmon ESU", "Chum", "-99", "Gorge", "Upper Gorge Tributaries", 2004, 77, -99
123, "Columbia River Chum Salmon ESU", "Chum", "-99", "Gorge", "Upper Gorge Tributaries", 2005, 128, -99
123, "Columbia River Chum Salmon ESU", "Chum", "-99", "Gorge", "Upper Gorge Tributaries", 2006, 121, -99
123, "Columbia River Chum Salmon ESU", "Chum", "-99", "Gorge", "Upper Gorge Tributaries", 2007, 95, -99
123, "Columbia River Chum Salmon ESU", "Chum", "-99", "Gorge", "Upper Gorge Tributaries", 2008, 66, -99
123, "Columbia River Chum Salmon ESU", "Chum", "-99", "Gorge", "Upper Gorge Tributaries", 2009, 86, -99
123, "Columbia River Chum Salmon ESU", "Chum", "-99", "Gorge", "Upper Gorge Tributaries", 2010, 106, -99
123, "Columbia River Chum Salmon ESU", "Chum", "-99", "Gorge", "Upper Gorge Tributaries", 2011, 28, -99
124, "Columbia River Chum Salmon ESU", "Chum", "-99", "Cascade", "Washougal River", 2002, 3190, -99
124, "Columbia River Chum Salmon ESU", "Chum", "-99", "Cascade", "Washougal River", 2003, 2968, -99
124, "Columbia River Chum Salmon ESU", "Chum", "-99", "Cascade", "Washougal River", 2004, 2349, -99
124, "Columbia River Chum Salmon ESU", "Chum", "-99", "Cascade", "Washougal River", 2005, 923, -99
124, "Columbia River Chum Salmon ESU", "Chum", "-99", "Cascade", "Washougal River", 2006, 869, -99
124, "Columbia River Chum Salmon ESU", "Chum", "-99", "Cascade", "Washougal River", 2007, 576, -99
124, "Columbia River Chum Salmon ESU", "Chum", "-99", "Cascade", "Washougal River", 2008, 644, -99
124, "Columbia River Chum Salmon ESU", "Chum", "-99", "Cascade", "Washougal River", 2009, 1154, -99
124, "Columbia River Chum Salmon ESU", "Chum", "-99", "Cascade", "Washougal River", 2010, 2148, -99
124, "Columbia River Chum Salmon ESU", "Chum", "-99", "Cascade", "Washougal River", 2011, 4801, -99
124, "Columbia River Chum Salmon ESU", "Chum", "-99", "Cascade", "Washougal River", 2012, 2498, -99
124, "Columbia River Chum Salmon ESU", "Chum", "-99", "Cascade", "Washougal River", 2013, 1364, -99
