Series,Method,Citation,Contributor,NMFS_POPID,ESU,MAJOR_POPULATION_GROUP,Population_name,COMMON_POPULATION_NAME,DISPLAY_ORDER,SPECIES,RUN_TIMING,STREAM_NAME,BROOD_YEAR,NUMBER_OF_SPAWNERS,FRACWILD,CATCH,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS,AGE_8_RETURNS
ICMC2021,Survey,CAX05262020,Yakama Nation Fisheries,254,Steelhead (Middle Columbia River DPS),Cascades Eastern Slope Tributaries,Klickitat River,Klickitat R.,1.2,Steelhead,Su&Wi,Klickitat River,2006,1577,1,-99,-99,-99,-99,-99,-99,-99,-99
ICMC2021,Survey,CAX05262020,Yakama Nation Fisheries,254,Steelhead (Middle Columbia River DPS),Cascades Eastern Slope Tributaries,Klickitat River,Klickitat R.,1.2,Steelhead,Su&Wi,Klickitat River,2007,1669,1,-99,-99,-99,-99,-99,-99,-99,-99
ICMC2021,Survey,CAX05262020,Yakama Nation Fisheries,254,Steelhead (Middle Columbia River DPS),Cascades Eastern Slope Tributaries,Klickitat River,Klickitat R.,1.2,Steelhead,Su&Wi,Klickitat River,2008,-99,-99,-99,0,0.284,0.604,0.112,0,-99,-99
ICMC2021,Survey,CAX05262020,Yakama Nation Fisheries,254,Steelhead (Middle Columbia River DPS),Cascades Eastern Slope Tributaries,Klickitat River,Klickitat R.,1.2,Steelhead,Su&Wi,Klickitat River,2009,-99,-99,-99,0,0.247,0.577,0.175,0,-99,-99
ICMC2021,Survey,CAX05262020,Yakama Nation Fisheries,254,Steelhead (Middle Columbia River DPS),Cascades Eastern Slope Tributaries,Klickitat River,Klickitat R.,1.2,Steelhead,Su&Wi,Klickitat River,2010,1290,1,-99,0,0.436,0.51,0.053,0,-99,-99
ICMC2021,Survey,CAX05262020,Yakama Nation Fisheries,254,Steelhead (Middle Columbia River DPS),Cascades Eastern Slope Tributaries,Klickitat River,Klickitat R.,1.2,Steelhead,Su&Wi,Klickitat River,2011,1111,1,-99,0.036,0.25,0.696,0.018,0,-99,-99
ICMC2021,Survey,CAX05262020,Yakama Nation Fisheries,254,Steelhead (Middle Columbia River DPS),Cascades Eastern Slope Tributaries,Klickitat River,Klickitat R.,1.2,Steelhead,Su&Wi,Klickitat River,2012,2483,1,-99,0.039,0.438,0.503,0.02,0,-99,-99
ICMC2021,Survey,CAX05262020,Yakama Nation Fisheries,254,Steelhead (Middle Columbia River DPS),Cascades Eastern Slope Tributaries,Klickitat River,Klickitat R.,1.2,Steelhead,Su&Wi,Klickitat River,2013,1063,1,-99,0.008,0.336,0.578,0.078,0,-99,-99
ICMC2021,Survey,CAX05262020,Yakama Nation Fisheries,254,Steelhead (Middle Columbia River DPS),Cascades Eastern Slope Tributaries,Klickitat River,Klickitat R.,1.2,Steelhead,Su&Wi,Klickitat River,2014,1222,1,-99,0.07,0.395,0.488,0.047,0,-99,-99
ICMC2021,Survey,CAX05262020,Yakama Nation Fisheries,254,Steelhead (Middle Columbia River DPS),Cascades Eastern Slope Tributaries,Klickitat River,Klickitat R.,1.2,Steelhead,Su&Wi,Klickitat River,2015,2956,1,-99,0.022,0.489,0.457,0.033,0,-99,-99
ICMC2021,Survey,CAX05262020,Yakama Nation Fisheries,254,Steelhead (Middle Columbia River DPS),Cascades Eastern Slope Tributaries,Klickitat River,Klickitat R.,1.2,Steelhead,Su&Wi,Klickitat River,2016,3270,1,-99,0.041,0.443,0.484,0.032,0,-99,-99
ICMC2021,Survey,CAX05262020,Yakama Nation Fisheries,254,Steelhead (Middle Columbia River DPS),Cascades Eastern Slope Tributaries,Klickitat River,Klickitat R.,1.2,Steelhead,Su&Wi,Klickitat River,2017,544,1,-99,0.026,0.385,0.513,0.077,0,-99,-99
