Series,Method,Citation,Contributor,NMFS_POPID,ESU,MAJOR_POPULATION_GROUP,COMMON_POPULATION_NAME,SPECIES,RUN_TIMING,STREAM_NAME,BROOD_YEAR,NUMBER_OF_SPAWNERS,FRACWILD,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS,AGE_8_RETURNS
ICSRFchinook2021,Survey,pers comm Bill Young email 3172021,Nez Perce Tribe,56,"Salmon, Chinook (Snake River fall-run ESU)",,Snake River Lower Mainstem,Chinook,fall,Snake River,1975,1000,1,,0.271,0.389,0.138,0,,
ICSRFchinook2022,Survey,pers comm Bill Young email 3172021,Nez Perce Tribe,56,"Salmon, Chinook (Snake River fall-run ESU)",,Snake River Lower Mainstem,Chinook,fall,Snake River,1976,470,1,,0.271,0.389,0.138,0,,
ICSRFchinook2023,Survey,pers comm Bill Young email 3172021,Nez Perce Tribe,56,"Salmon, Chinook (Snake River fall-run ESU)",,Snake River Lower Mainstem,Chinook,fall,Snake River,1977,600,1,,0.271,0.389,0.138,0,,
ICSRFchinook2024,Survey,pers comm Bill Young email 3172021,Nez Perce Tribe,56,"Salmon, Chinook (Snake River fall-run ESU)",,Snake River Lower Mainstem,Chinook,fall,Snake River,1978,640,1,,0.271,0.389,0.138,0,,
ICSRFchinook2025,Survey,pers comm Bill Young email 3172021,Nez Perce Tribe,56,"Salmon, Chinook (Snake River fall-run ESU)",,Snake River Lower Mainstem,Chinook,fall,Snake River,1979,500,1,,0.271,0.389,0.138,0,,
ICSRFchinook2026,Survey,pers comm Bill Young email 3172021,Nez Perce Tribe,56,"Salmon, Chinook (Snake River fall-run ESU)",,Snake River Lower Mainstem,Chinook,fall,Snake River,1980,450,1,,0.271,0.389,0.138,0,,
ICSRFchinook2027,Survey,pers comm Bill Young email 3172021,Nez Perce Tribe,56,"Salmon, Chinook (Snake River fall-run ESU)",,Snake River Lower Mainstem,Chinook,fall,Snake River,1981,340,1,,0.271,0.389,0.138,0,,
ICSRFchinook2028,Survey,pers comm Bill Young email 3172021,Nez Perce Tribe,56,"Salmon, Chinook (Snake River fall-run ESU)",,Snake River Lower Mainstem,Chinook,fall,Snake River,1982,720,1,,0.271,0.389,0.138,0,,
ICSRFchinook2029,Survey,pers comm Bill Young email 3172021,Nez Perce Tribe,56,"Salmon, Chinook (Snake River fall-run ESU)",,Snake River Lower Mainstem,Chinook,fall,Snake River,1983,532,0.805,,0.271,0.389,0.138,0,,
ICSRFchinook2030,Survey,pers comm Bill Young email 3172021,Nez Perce Tribe,56,"Salmon, Chinook (Snake River fall-run ESU)",,Snake River Lower Mainstem,Chinook,fall,Snake River,1984,618,0.524,,0.271,0.389,0.138,0,,
ICSRFchinook2031,Survey,pers comm Bill Young email 3172021,Nez Perce Tribe,56,"Salmon, Chinook (Snake River fall-run ESU)",,Snake River Lower Mainstem,Chinook,fall,Snake River,1985,673,0.651,,0.271,0.389,0.138,0,,
