Series,Method,Citation,Contributor,NMFS_POPID,ESU,MAJOR_POPULATION_GROUP,Population_name,COMMON_POPULATION_NAME,DISPLAY_ORDER,SPECIES,RUN_TIMING,STREAM_NAME,BROOD_YEAR,NUMBER_OF_SPAWNERS,FRACWILD,CATCH,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS,AGE_8_RETURNS
ICSRsthdSurvey,Survey,CAX05262020,Washington Department of Fish and Wildlife,300,Steelhead (Snake River Basin DPS),Lower Snake,Asotin Creek,Asotin Ck.,1.1,Steelhead,,Asotin Creek,1986,1269,0.81,-99,-99,0.036,0.419,0.482,0.059,0.004,-99
ICSRsthdSurvey,Survey,CAX05262020,Washington Department of Fish and Wildlife,300,Steelhead (Snake River Basin DPS),Lower Snake,Asotin Creek,Asotin Ck.,1.1,Steelhead,,Asotin Creek,1987,831,0.73,-99,-99,0.036,0.419,0.482,0.059,0.004,-99
ICSRsthdSurvey,Survey,CAX05262020,Washington Department of Fish and Wildlife,300,Steelhead (Snake River Basin DPS),Lower Snake,Asotin Creek,Asotin Ck.,1.1,Steelhead,,Asotin Creek,1988,548,0.5,-99,-99,0.036,0.419,0.482,0.059,0.004,-99
ICSRsthdSurvey,Survey,CAX05262020,Washington Department of Fish and Wildlife,300,Steelhead (Snake River Basin DPS),Lower Snake,Asotin Creek,Asotin Ck.,1.1,Steelhead,,Asotin Creek,1989,370,0.67,-99,-99,0.036,0.419,0.482,0.059,0.004,-99
ICSRsthdSurvey,Survey,CAX05262020,Washington Department of Fish and Wildlife,300,Steelhead (Snake River Basin DPS),Lower Snake,Asotin Creek,Asotin Ck.,1.1,Steelhead,,Asotin Creek,1990,381,0.67,-99,-99,0.036,0.419,0.482,0.059,0.004,-99
ICSRsthdSurvey,Survey,CAX05262020,Washington Department of Fish and Wildlife,300,Steelhead (Snake River Basin DPS),Lower Snake,Asotin Creek,Asotin Ck.,1.1,Steelhead,,Asotin Creek,1991,418,0.8,-99,-99,0.036,0.419,0.482,0.059,0.004,-99
ICSRsthdSurvey,Survey,CAX05262020,Washington Department of Fish and Wildlife,300,Steelhead (Snake River Basin DPS),Lower Snake,Asotin Creek,Asotin Ck.,1.1,Steelhead,,Asotin Creek,1992,289,0.24,-99,-99,0.036,0.419,0.482,0.059,0.004,-99
ICSRsthdSurvey,Survey,CAX05262020,Washington Department of Fish and Wildlife,300,Steelhead (Snake River Basin DPS),Lower Snake,Asotin Creek,Asotin Ck.,1.1,Steelhead,,Asotin Creek,1993,1008,0.71,-99,-99,0.036,0.419,0.482,0.059,0.004,-99
ICSRsthdSurvey,Survey,CAX05262020,Washington Department of Fish and Wildlife,300,Steelhead (Snake River Basin DPS),Lower Snake,Asotin Creek,Asotin Ck.,1.1,Steelhead,,Asotin Creek,1994,253,0.9,-99,-99,0.036,0.419,0.482,0.059,0.004,-99
ICSRsthdSurvey,Survey,CAX05262020,Washington Department of Fish and Wildlife,300,Steelhead (Snake River Basin DPS),Lower Snake,Asotin Creek,Asotin Ck.,1.1,Steelhead,,Asotin Creek,1995,567,0.69,-99,-99,0.036,0.419,0.482,0.059,0.004,-99
ICSRsthdSurvey,Survey,CAX05262020,Washington Department of Fish and Wildlife,300,Steelhead (Snake River Basin DPS),Lower Snake,Asotin Creek,Asotin Ck.,1.1,Steelhead,,Asotin Creek,1996,659,0.6,-99,-99,0.036,0.419,0.482,0.059,0.004,-99
ICSRsthdSurvey,Survey,CAX05262020,Washington Department of Fish and Wildlife,300,Steelhead (Snake River Basin DPS),Lower Snake,Asotin Creek,Asotin Ck.,1.1,Steelhead,,Asotin Creek,1997,397,0.52,-99,-99,0.036,0.419,0.482,0.059,0.004,-99
ICSRsthdSurvey,Survey,CAX05262020,Washington Department of Fish and Wildlife,300,Steelhead (Snake River Basin DPS),Lower Snake,Asotin Creek,Asotin Ck.,1.1,Steelhead,,Asotin Creek,1998,436,0.62,-99,-99,0.036,0.419,0.482,0.059,0.004,-99
ICSRsthdSurvey,Survey,CAX05262020,Washington Department of Fish and Wildlife,300,Steelhead (Snake River Basin DPS),Lower Snake,Asotin Creek,Asotin Ck.,1.1,Steelhead,,Asotin Creek,1999,552,0.84,-99,-99,0.036,0.419,0.482,0.059,0.004,-99
ICSRsthdSurvey,Survey,CAX05262020,Washington Department of Fish and Wildlife,300,Steelhead (Snake River Basin DPS),Lower Snake,Asotin Creek,Asotin Ck.,1.1,Steelhead,,Asotin Creek,2000,431,0.89,-99,-99,0.036,0.419,0.482,0.059,0.004,-99
ICSRsthdSurvey,Survey,CAX05262020,Washington Department of Fish and Wildlife,300,Steelhead (Snake River Basin DPS),Lower Snake,Asotin Creek,Asotin Ck.,1.1,Steelhead,,Asotin Creek,2001,844,0.9,-99,-99,0.036,0.419,0.482,0.059,0.004,-99
ICSRsthdSurvey,Survey,CAX05262020,Washington Department of Fish and Wildlife,300,Steelhead (Snake River Basin DPS),Lower Snake,Asotin Creek,Asotin Ck.,1.1,Steelhead,,Asotin Creek,2002,740,0.9,-99,-99,0.036,0.419,0.482,0.059,0.004,-99
ICSRsthdSurvey,Survey,CAX05262020,Washington Department of Fish and Wildlife,300,Steelhead (Snake River Basin DPS),Lower Snake,Asotin Creek,Asotin Ck.,1.1,Steelhead,,Asotin Creek,2003,766,0.9,-99,-99,0.036,0.419,0.482,0.059,0.004,-99
ICSRsthdSurvey,Survey,CAX05262020,Washington Department of Fish and Wildlife,300,Steelhead (Snake River Basin DPS),Lower Snake,Asotin Creek,Asotin Ck.,1.1,Steelhead,,Asotin Creek,2004,707,0.9,-99,-99,0.036,0.419,0.482,0.059,0.004,-99
