Series,Method,Citation,Contributor,NMFS_POPID,ESU,MAJOR_POPULATION_GROUP,Population_name,COMMON_POPULATION_NAME,DISPLAY_ORDER,SPECIES,RUN_TIMING,STREAM_NAME,BROOD_YEAR,NUMBER_OF_SPAWNERS,FRACWILD,CATCH,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS,AGE_8_RETURNS
ICUCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,102,"Salmon, Chinook (Upper Columbia River spring-run ESU)",North Cascades,Wenatchee River,Wenatchee R.,1.1,Chinook salmon,,Wenatchee River,1960,2371,-99,-99,-99,-99,-99,-99,-99,-99,-99
ICUCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,102,"Salmon, Chinook (Upper Columbia River spring-run ESU)",North Cascades,Wenatchee River,Wenatchee R.,1.1,Chinook salmon,,Wenatchee River,1961,1540,-99,-99,-99,-99,-99,-99,-99,-99,-99
ICUCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,102,"Salmon, Chinook (Upper Columbia River spring-run ESU)",North Cascades,Wenatchee River,Wenatchee R.,1.1,Chinook salmon,,Wenatchee River,1962,3056,-99,-99,-99,-99,-99,-99,-99,-99,-99
ICUCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,102,"Salmon, Chinook (Upper Columbia River spring-run ESU)",North Cascades,Wenatchee River,Wenatchee R.,1.1,Chinook salmon,,Wenatchee River,1963,1874,-99,-99,-99,-99,-99,-99,-99,-99,-99
ICUCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,102,"Salmon, Chinook (Upper Columbia River spring-run ESU)",North Cascades,Wenatchee River,Wenatchee R.,1.1,Chinook salmon,,Wenatchee River,1964,2771,-99,-99,-99,-99,-99,-99,-99,-99,-99
ICUCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,102,"Salmon, Chinook (Upper Columbia River spring-run ESU)",North Cascades,Wenatchee River,Wenatchee R.,1.1,Chinook salmon,,Wenatchee River,1965,3523,-99,-99,-99,-99,-99,-99,-99,-99,-99
ICUCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,102,"Salmon, Chinook (Upper Columbia River spring-run ESU)",North Cascades,Wenatchee River,Wenatchee R.,1.1,Chinook salmon,,Wenatchee River,1966,6718,-99,-99,-99,-99,-99,-99,-99,-99,-99
ICUCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,102,"Salmon, Chinook (Upper Columbia River spring-run ESU)",North Cascades,Wenatchee River,Wenatchee R.,1.1,Chinook salmon,,Wenatchee River,1967,3978,-99,-99,-99,-99,-99,-99,-99,-99,-99
ICUCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,102,"Salmon, Chinook (Upper Columbia River spring-run ESU)",North Cascades,Wenatchee River,Wenatchee R.,1.1,Chinook salmon,,Wenatchee River,1968,4663,-99,-99,-99,-99,-99,-99,-99,-99,-99
ICUCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,102,"Salmon, Chinook (Upper Columbia River spring-run ESU)",North Cascades,Wenatchee River,Wenatchee R.,1.1,Chinook salmon,,Wenatchee River,1969,3959,0.95,-99,-99,-99,-99,-99,-99,-99,-99
ICUCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,102,"Salmon, Chinook (Upper Columbia River spring-run ESU)",North Cascades,Wenatchee River,Wenatchee R.,1.1,Chinook salmon,,Wenatchee River,1970,3026,0.93,-99,-99,-99,-99,-99,-99,-99,-99
ICUCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,102,"Salmon, Chinook (Upper Columbia River spring-run ESU)",North Cascades,Wenatchee River,Wenatchee R.,1.1,Chinook salmon,,Wenatchee River,1971,1589,-99,-99,-99,-99,-99,-99,-99,-99,-99
ICUCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,102,"Salmon, Chinook (Upper Columbia River spring-run ESU)",North Cascades,Wenatchee River,Wenatchee R.,1.1,Chinook salmon,,Wenatchee River,1972,2783,-99,-99,-99,-99,-99,-99,-99,-99,-99
ICUCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,102,"Salmon, Chinook (Upper Columbia River spring-run ESU)",North Cascades,Wenatchee River,Wenatchee R.,1.1,Chinook salmon,,Wenatchee River,1973,5863,0.99,-99,-99,-99,-99,-99,-99,-99,-99
ICUCchinook2020,Survey,CAX05262020,Washington Department of Fish and Wildlife,102,"Salmon, Chinook (Upper Columbia River spring-run ESU)",North Cascades,Wenatchee River,Wenatchee R.,1.1,Chinook salmon,,Wenatchee River,1974,1989,-99,-99,-99,-99,-99,-99,-99,-99,-99
