Series,Method,Citation,Contributor,NMFS_POPID,ESU,MAJOR_POPULATION_GROUP,COMMON_POPULATION_NAME,SPECIES,RUN_TIMING,STREAM_NAME,BROOD_YEAR,NUMBER_OF_SPAWNERS,FRACWILD,CATCH,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS,AGE_8_RETURNS
ICUCsthdModel,Model,CJ,CJ,328,Steelhead (Upper Columbia River DPS),Upper Columbia / East Slope Cascades,Entiat R.,Steelhead,Summer,Entiat River,2011,872,0.802752294,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdModel,Model,CJ,CJ,328,Steelhead (Upper Columbia River DPS),Upper Columbia / East Slope Cascades,Entiat R.,Steelhead,Summer,Entiat River,2012,657,0.808219178,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdModel,Model,CJ,CJ,328,Steelhead (Upper Columbia River DPS),Upper Columbia / East Slope Cascades,Entiat R.,Steelhead,Summer,Entiat River,2013,379,0.646437995,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdModel,Model,CJ,CJ,328,Steelhead (Upper Columbia River DPS),Upper Columbia / East Slope Cascades,Entiat R.,Steelhead,Summer,Entiat River,2014,478,0.905857741,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdModel,Model,CJ,CJ,328,Steelhead (Upper Columbia River DPS),Upper Columbia / East Slope Cascades,Entiat R.,Steelhead,Summer,Entiat River,2015,647,0.908809892,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdModel,Model,CJ,CJ,328,Steelhead (Upper Columbia River DPS),Upper Columbia / East Slope Cascades,Entiat R.,Steelhead,Summer,Entiat River,2016,521,0.884836852,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdModel,Model,CJ,CJ,328,Steelhead (Upper Columbia River DPS),Upper Columbia / East Slope Cascades,Entiat R.,Steelhead,Summer,Entiat River,2017,226,0.703539823,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdModel,Model,CJ,CJ,328,Steelhead (Upper Columbia River DPS),Upper Columbia / East Slope Cascades,Entiat R.,Steelhead,Summer,Entiat River,2018,158,0.715189873,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdModel,Model,CJ,CJ,328,Steelhead (Upper Columbia River DPS),Upper Columbia / East Slope Cascades,Entiat R.,Steelhead,Summer,Entiat River,2019,146,0.746575342,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdModel,Model,CJ,CJ,329,Steelhead (Upper Columbia River DPS),Upper Columbia / East Slope Cascades,Methow R.,Steelhead,Summer,Methow River,2011,3889,0.292877346,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdModel,Model,CJ,CJ,329,Steelhead (Upper Columbia River DPS),Upper Columbia / East Slope Cascades,Methow R.,Steelhead,Summer,Methow River,2012,2889,0.348909657,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdModel,Model,CJ,CJ,329,Steelhead (Upper Columbia River DPS),Upper Columbia / East Slope Cascades,Methow R.,Steelhead,Summer,Methow River,2013,2577,0.203337214,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdModel,Model,CJ,CJ,329,Steelhead (Upper Columbia River DPS),Upper Columbia / East Slope Cascades,Methow R.,Steelhead,Summer,Methow River,2014,2952,0.340447154,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdModel,Model,CJ,CJ,329,Steelhead (Upper Columbia River DPS),Upper Columbia / East Slope Cascades,Methow R.,Steelhead,Summer,Methow River,2015,3248,0.314039409,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdModel,Model,CJ,CJ,329,Steelhead (Upper Columbia River DPS),Upper Columbia / East Slope Cascades,Methow R.,Steelhead,Summer,Methow River,2016,2832,0.360522599,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdModel,Model,CJ,CJ,329,Steelhead (Upper Columbia River DPS),Upper Columbia / East Slope Cascades,Methow R.,Steelhead,Summer,Methow River,2017,1598,0.281602003,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdModel,Model,CJ,CJ,329,Steelhead (Upper Columbia River DPS),Upper Columbia / East Slope Cascades,Methow R.,Steelhead,Summer,Methow River,2018,1393,0.458722182,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdModel,Model,CJ,CJ,329,Steelhead (Upper Columbia River DPS),Upper Columbia / East Slope Cascades,Methow R.,Steelhead,Summer,Methow River,2019,963,0.422637591,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdModel,Model,CJ,CJ,330,Steelhead (Upper Columbia River DPS),Upper Columbia / East Slope Cascades,Okanogan R.,Steelhead,Summer,Okanogan River,2011,581,0.270223752,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdModel,Model,CJ,CJ,330,Steelhead (Upper Columbia River DPS),Upper Columbia / East Slope Cascades,Okanogan R.,Steelhead,Summer,Okanogan River,2012,816,0.089460784,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdModel,Model,CJ,CJ,330,Steelhead (Upper Columbia River DPS),Upper Columbia / East Slope Cascades,Okanogan R.,Steelhead,Summer,Okanogan River,2013,826,0.152542373,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdModel,Model,CJ,CJ,330,Steelhead (Upper Columbia River DPS),Upper Columbia / East Slope Cascades,Okanogan R.,Steelhead,Summer,Okanogan River,2014,1133,0.390997352,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdModel,Model,CJ,CJ,330,Steelhead (Upper Columbia River DPS),Upper Columbia / East Slope Cascades,Okanogan R.,Steelhead,Summer,Okanogan River,2015,1465,0.29556314,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdModel,Model,CJ,CJ,330,Steelhead (Upper Columbia River DPS),Upper Columbia / East Slope Cascades,Okanogan R.,Steelhead,Summer,Okanogan River,2016,1480,0.25472973,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdModel,Model,CJ,CJ,330,Steelhead (Upper Columbia River DPS),Upper Columbia / East Slope Cascades,Okanogan R.,Steelhead,Summer,Okanogan River,2017,570,0.126315789,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdModel,Model,CJ,CJ,330,Steelhead (Upper Columbia River DPS),Upper Columbia / East Slope Cascades,Okanogan R.,Steelhead,Summer,Okanogan River,2018,460,0.260869565,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdModel,Model,CJ,CJ,330,Steelhead (Upper Columbia River DPS),Upper Columbia / East Slope Cascades,Okanogan R.,Steelhead,Summer,Okanogan River,2019,477,0.354297694,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdModel,Model,CJ,CJ,331,Steelhead (Upper Columbia River DPS),Upper Columbia / East Slope Cascades,Wenatchee R.,Steelhead,Summer,Wenatchee River,2011,3330,0.401201201,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdModel,Model,CJ,CJ,331,Steelhead (Upper Columbia River DPS),Upper Columbia / East Slope Cascades,Wenatchee R.,Steelhead,Summer,Wenatchee River,2012,2914,0.478723404,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdModel,Model,CJ,CJ,331,Steelhead (Upper Columbia River DPS),Upper Columbia / East Slope Cascades,Wenatchee R.,Steelhead,Summer,Wenatchee River,2013,2698,0.376204596,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdModel,Model,CJ,CJ,331,Steelhead (Upper Columbia River DPS),Upper Columbia / East Slope Cascades,Wenatchee R.,Steelhead,Summer,Wenatchee River,2014,2046,0.562072336,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdModel,Model,CJ,CJ,331,Steelhead (Upper Columbia River DPS),Upper Columbia / East Slope Cascades,Wenatchee R.,Steelhead,Summer,Wenatchee River,2015,2678,0.463405527,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdModel,Model,CJ,CJ,331,Steelhead (Upper Columbia River DPS),Upper Columbia / East Slope Cascades,Wenatchee R.,Steelhead,Summer,Wenatchee River,2016,1763,0.524673851,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdModel,Model,CJ,CJ,331,Steelhead (Upper Columbia River DPS),Upper Columbia / East Slope Cascades,Wenatchee R.,Steelhead,Summer,Wenatchee River,2017,512,0.486328125,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdModel,Model,CJ,CJ,331,Steelhead (Upper Columbia River DPS),Upper Columbia / East Slope Cascades,Wenatchee R.,Steelhead,Summer,Wenatchee River,2018,827,0.571946796,-99,-99,-99,-99,-99,-99,-99,-99
ICUCsthdModel,Model,CJ,CJ,331,Steelhead (Upper Columbia River DPS),Upper Columbia / East Slope Cascades,Wenatchee R.,Steelhead,Summer,Wenatchee River,2019,401,0.476309227,-99,-99,-99,-99,-99,-99,-99,-99
