#' Lower Columbia River Steelhead DPS
#'
#' @description Spawner counts and fraction wild data.
#'
#' @details Downloaded from the SPS Master Oracle 2013-2014 Database on
#' January 28, 2016
#' 
#' @source 
#' 
#' @references
#' 
#' @author Monica Diaz (NOAA/NWFSC)
#' 
"NMFS_POPID", "ESU", "SPECIES", "RUN_TIMING", "MAJOR_POPULATION_GROUP", "COMMON_POPULATION_NAME", "YEAR", "NUMBER_OF_SPAWNERS", "FRACWILD"
226, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Willamette - Cascade", "Clackamas River", 1974, 1069, 0.96
226, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Willamette - Cascade", "Clackamas River", 1975, 2432, 0.94
226, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Willamette - Cascade", "Clackamas River", 1976, 1883, 0.87
226, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Willamette - Cascade", "Clackamas River", 1977, 2433, 0.76
226, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Willamette - Cascade", "Clackamas River", 1978, 3166, 0.54
226, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Willamette - Cascade", "Clackamas River", 1979, 2408, 0.63
226, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Willamette - Cascade", "Clackamas River", 1980, 3290, 0.82
226, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Willamette - Cascade", "Clackamas River", 1981, 4297, 0.67
226, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Willamette - Cascade", "Clackamas River", 1982, 2304, 0.8
226, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Willamette - Cascade", "Clackamas River", 1983, 1751, 0.94
226, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Willamette - Cascade", "Clackamas River", 1984, 1973, 0.8
226, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Willamette - Cascade", "Clackamas River", 1985, 1952, 0.84
226, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Willamette - Cascade", "Clackamas River", 1986, 2282, 0.83
226, "Lower Columbia River Steelhead DPS", "Steelhead", "Winter-run", "Willamette - Cascade", "Clackamas River", 1987, 2100, 0.86
