"SERIES","ESU","SPECIES","METHOD","MAJOR_POPULATION_GROUP","NMFS_POPID","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CONTRIBUTOR","COMPILER","CITATION","LINE_NOTES"
"HCchum2020","Hood Canal","Summer Chum","Survey",NA,127,"Strait of Juan de Fuca","Strait of Juan de Fuca",NA,"SumR",NA,1971,1281,1,"WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",NA
"HCchum2020","Hood Canal","Summer Chum","Survey",NA,127,"Strait of Juan de Fuca","Strait of Juan de Fuca",NA,"SumR",NA,1972,1362,1,"WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",NA
"HCchum2020","Hood Canal","Summer Chum","Survey",NA,127,"Strait of Juan de Fuca","Strait of Juan de Fuca",NA,"SumR",NA,1973,1648,1,"WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",NA
"HCchum2020","Hood Canal","Summer Chum","Survey",NA,127,"Strait of Juan de Fuca","Strait of Juan de Fuca",NA,"SumR",NA,1974,1768,1,"WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",NA
"HCchum2020","Hood Canal","Summer Chum","Survey",NA,127,"Strait of Juan de Fuca","Strait of Juan de Fuca",NA,"SumR",NA,1975,1448,1,"WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",NA
"HCchum2020","Hood Canal","Summer Chum","Survey",NA,127,"Strait of Juan de Fuca","Strait of Juan de Fuca",NA,"SumR",NA,1976,1494,1,"WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",NA
"HCchum2020","Hood Canal","Summer Chum","Survey",NA,127,"Strait of Juan de Fuca","Strait of Juan de Fuca",NA,"SumR",NA,1977,1644,1,"WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",NA
"HCchum2020","Hood Canal","Summer Chum","Survey",NA,127,"Strait of Juan de Fuca","Strait of Juan de Fuca",NA,"SumR",NA,1978,3080,1,"WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",NA
"HCchum2020","Hood Canal","Summer Chum","Survey",NA,127,"Strait of Juan de Fuca","Strait of Juan de Fuca",NA,"SumR",NA,1979,761,1,"WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",NA
"HCchum2020","Hood Canal","Summer Chum","Survey",NA,127,"Strait of Juan de Fuca","Strait of Juan de Fuca",NA,"SumR",NA,1980,5109,1,"WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",NA
"HCchum2020","Hood Canal","Summer Chum","Survey",NA,127,"Strait of Juan de Fuca","Strait of Juan de Fuca",NA,"SumR",NA,1981,884,1,"WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",NA
"HCchum2020","Hood Canal","Summer Chum","Survey",NA,127,"Strait of Juan de Fuca","Strait of Juan de Fuca",NA,"SumR",NA,1982,2751,1,"WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",NA
"HCchum2020","Hood Canal","Summer Chum","Survey",NA,127,"Strait of Juan de Fuca","Strait of Juan de Fuca",NA,"SumR",NA,1983,1139,1,"WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",NA
"HCchum2020","Hood Canal","Summer Chum","Survey",NA,127,"Strait of Juan de Fuca","Strait of Juan de Fuca",NA,"SumR",NA,1984,1579,1,"WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",NA
"HCchum2020","Hood Canal","Summer Chum","Survey",NA,127,"Strait of Juan de Fuca","Strait of Juan de Fuca",NA,"SumR",NA,1985,232,1,"WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",NA
"HCchum2020","Hood Canal","Summer Chum","Survey",NA,127,"Strait of Juan de Fuca","Strait of Juan de Fuca",NA,"SumR",NA,1986,1087,1,"WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",NA
"HCchum2020","Hood Canal","Summer Chum","",NA,127,"Strait of Juan de Fuca","Strait of Juan de Fuca",NA,"SumR",NA,1987,1991,1,"WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",NA
"HCchum2020","Hood Canal","Summer Chum","",NA,127,"Strait of Juan de Fuca","Strait of Juan de Fuca",NA,"SumR",NA,1988,3690,1,"WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",NA
"HCchum2020","Hood Canal","Summer Chum","",NA,127,"Strait of Juan de Fuca","Strait of Juan de Fuca",NA,"SumR",NA,1989,388,1,"WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",NA
"HCchum2020","Hood Canal","Summer Chum","",NA,127,"Strait of Juan de Fuca","Strait of Juan de Fuca",NA,"SumR",NA,1990,341,1,"WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",NA
"HCchum2020","Hood Canal","Summer Chum","",NA,127,"Strait of Juan de Fuca","Strait of Juan de Fuca",NA,"SumR",NA,1991,309,1,"WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",NA
"HCchum2020","Hood Canal","Summer Chum","",NA,127,"Strait of Juan de Fuca","Strait of Juan de Fuca",NA,"SumR",NA,1992,1008,1,"WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",NA
"HCchum2020","Hood Canal","Summer Chum","",NA,127,"Strait of Juan de Fuca","Strait of Juan de Fuca",NA,"SumR",NA,1993,521,1,"WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",NA
"HCchum2020","Hood Canal","Summer Chum","",NA,127,"Strait of Juan de Fuca","Strait of Juan de Fuca",NA,"SumR",NA,1994,154,1,"WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",NA
"HCchum2020","Hood Canal","Summer Chum","",NA,127,"Strait of Juan de Fuca","Strait of Juan de Fuca",NA,"SumR",NA,1995,786,1,"WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",NA
"HCchum2020","Hood Canal","Summer Chum","",NA,127,"Strait of Juan de Fuca","Strait of Juan de Fuca",NA,"SumR",NA,1996,975,1,"WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",NA
"HCchum2020","Hood Canal","Summer Chum","",NA,127,"Strait of Juan de Fuca","Strait of Juan de Fuca",NA,"SumR",NA,1997,852,1,"WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",NA
"HCchum2020","Hood Canal","Summer Chum","",NA,127,"Strait of Juan de Fuca","Strait of Juan de Fuca",NA,"SumR",NA,1998,1148,1,"WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",NA
"HCchum2020","Hood Canal","Summer Chum","",NA,127,"Strait of Juan de Fuca","Strait of Juan de Fuca",NA,"SumR",NA,1999,502,0.26,"WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",NA
"HCchum2020","Hood Canal","Summer Chum","",NA,127,"Strait of Juan de Fuca","Strait of Juan de Fuca",NA,"SumR",NA,2000,801,0.49,"WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",NA
"HCchum2020","Hood Canal","Summer Chum","",NA,127,"Strait of Juan de Fuca","Strait of Juan de Fuca",NA,"SumR",NA,2001,3733,0.36,"WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",NA
"HCchum2020","Hood Canal","Summer Chum","",NA,127,"Strait of Juan de Fuca","Strait of Juan de Fuca",NA,"SumR",NA,2002,6791,0.61,"WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",NA
