"SERIES","ESU","SPECIES","METHOD","MAJOR_POPULATION_GROUP","NMFS_POPID","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CONTRIBUTOR","COMPILER","CITATION","LINE_NOTES"
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake",214,"Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake",NA,-99,NA,1977,2752,1,"Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",NA
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake",214,"Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake",NA,-99,NA,1978,2398,1,"Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",NA
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake",214,"Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake",NA,-99,NA,1979,1335,1,"Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",NA
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake",214,"Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake",NA,-99,NA,1980,1054,1,"Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",NA
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake",214,"Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake",NA,-99,NA,1981,858,1,"Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",NA
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake",214,"Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake",NA,-99,NA,1982,4131,1,"Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",NA
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake",214,"Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake",NA,-99,NA,1983,603,1,"Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",NA
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake",214,"Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake",NA,-99,NA,1984,2447,1,"Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",NA
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake",214,"Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake",NA,-99,NA,1985,-99,1,"Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",NA
"OzetteSockeye2020","Ozette Lake Sockeye Salmon ESU","Sockeye","Survey","Ozette Lake",214,"Sockeye Salmon (Ozette Lake ESU) - Ozette Lake","Ozette Lake",NA,-99,NA,1986,1174,1,"Makah Fisheries Management, Makah Tribe","Martin Liermann","Personal communication with Mike Haggerty, Makah Fisheries Management, Makah Tribe",NA
