"SERIES","ESU","SPECIES","METHOD","MAJOR_POPULATION_GROUP","NMFS_POPID","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CONTRIBUTOR","COMPILER","CITATION","LINE_NOTES"
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia",41,"North Fork Nooksack Chinook","NF Nooksack R.",1,"spring",NA,1984,45.10870753,0.944013467,"WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",NA
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia",41,"North Fork Nooksack Chinook","NF Nooksack R.",1,"spring",NA,1985,255.1979049,0.888026935,"WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",NA
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia",41,"North Fork Nooksack Chinook","NF Nooksack R.",1,"spring",NA,1986,224.2372159,0.832040402,"WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",NA
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia",41,"North Fork Nooksack Chinook","NF Nooksack R.",1,"spring",NA,1987,179.2275748,0.776053869,"WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",NA
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia",41,"North Fork Nooksack Chinook","NF Nooksack R.",1,"spring",NA,1988,456,0.5,"WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",NA
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia",41,"North Fork Nooksack Chinook","NF Nooksack R.",1,"spring",NA,1989,303.155764,0.5,"WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",NA
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia",41,"North Fork Nooksack Chinook","NF Nooksack R.",1,"spring",NA,1990,10.03143545,0.5,"WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",NA
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia",41,"North Fork Nooksack Chinook","NF Nooksack R.",1,"spring",NA,1991,108.2771593,0.5,"WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",NA
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia",41,"North Fork Nooksack Chinook","NF Nooksack R.",1,"spring",NA,1992,498,0.5,"WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",NA
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia",41,"North Fork Nooksack Chinook","NF Nooksack R.",1,"spring",NA,1993,445,0.5,"WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",NA
