"Series","Method","Citation","Contributor","NMFS_POPID","ESU","MAJOR_POPULATION_GROUP","COMMON_POPULATION_NAME","SPECIES","RUN_TIMING","STREAM_NAME","BROOD_YEAR","NUMBER_OF_SPAWNERS","FRACWILD"
"ICSRFchinook2021","Survey","pers comm Bill Young email 3172021","Nez Perce Tribe",56,"Salmon, Chinook (Snake River fall-run ESU)",NA,"Snake River Lower Mainstem","Chinook","fall","Snake River",1975,1000,1
"ICSRFchinook2021","Survey","pers comm Bill Young email 3172021","Nez Perce Tribe",56,"Salmon, Chinook (Snake River fall-run ESU)",NA,"Snake River Lower Mainstem","Chinook","fall","Snake River",1976,470,1
"ICSRFchinook2021","Survey","pers comm Bill Young email 3172021","Nez Perce Tribe",56,"Salmon, Chinook (Snake River fall-run ESU)",NA,"Snake River Lower Mainstem","Chinook","fall","Snake River",1977,600,1
"ICSRFchinook2021","Survey","pers comm Bill Young email 3172021","Nez Perce Tribe",56,"Salmon, Chinook (Snake River fall-run ESU)",NA,"Snake River Lower Mainstem","Chinook","fall","Snake River",1978,640,1
"ICSRFchinook2021","Survey","pers comm Bill Young email 3172021","Nez Perce Tribe",56,"Salmon, Chinook (Snake River fall-run ESU)",NA,"Snake River Lower Mainstem","Chinook","fall","Snake River",1979,500,1
"ICSRFchinook2021","Survey","pers comm Bill Young email 3172021","Nez Perce Tribe",56,"Salmon, Chinook (Snake River fall-run ESU)",NA,"Snake River Lower Mainstem","Chinook","fall","Snake River",1980,450,1
"ICSRFchinook2021","Survey","pers comm Bill Young email 3172021","Nez Perce Tribe",56,"Salmon, Chinook (Snake River fall-run ESU)",NA,"Snake River Lower Mainstem","Chinook","fall","Snake River",1981,340,1
"ICSRFchinook2021","Survey","pers comm Bill Young email 3172021","Nez Perce Tribe",56,"Salmon, Chinook (Snake River fall-run ESU)",NA,"Snake River Lower Mainstem","Chinook","fall","Snake River",1982,720,1
"ICSRFchinook2021","Survey","pers comm Bill Young email 3172021","Nez Perce Tribe",56,"Salmon, Chinook (Snake River fall-run ESU)",NA,"Snake River Lower Mainstem","Chinook","fall","Snake River",1983,532,0.805
"ICSRFchinook2021","Survey","pers comm Bill Young email 3172021","Nez Perce Tribe",56,"Salmon, Chinook (Snake River fall-run ESU)",NA,"Snake River Lower Mainstem","Chinook","fall","Snake River",1984,618,0.524
"ICSRFchinook2021","Survey","pers comm Bill Young email 3172021","Nez Perce Tribe",56,"Salmon, Chinook (Snake River fall-run ESU)",NA,"Snake River Lower Mainstem","Chinook","fall","Snake River",1985,673,0.651
"ICSRFchinook2021","Survey","pers comm Bill Young email 3172021","Nez Perce Tribe",56,"Salmon, Chinook (Snake River fall-run ESU)",NA,"Snake River Lower Mainstem","Chinook","fall","Snake River",1986,761,0.59
"ICSRFchinook2021","Survey","pers comm Bill Young email 3172021","Nez Perce Tribe",56,"Salmon, Chinook (Snake River fall-run ESU)",NA,"Snake River Lower Mainstem","Chinook","fall","Snake River",1987,902,0.28
"ICSRFchinook2021","Survey","pers comm Bill Young email 3172021","Nez Perce Tribe",56,"Salmon, Chinook (Snake River fall-run ESU)",NA,"Snake River Lower Mainstem","Chinook","fall","Snake River",1988,609,0.604
"ICSRFchinook2021","Survey","pers comm Bill Young email 3172021","Nez Perce Tribe",56,"Salmon, Chinook (Snake River fall-run ESU)",NA,"Snake River Lower Mainstem","Chinook","fall","Snake River",1989,677,0.436
"ICSRFchinook2021","Survey","pers comm Bill Young email 3172021","Nez Perce Tribe",56,"Salmon, Chinook (Snake River fall-run ESU)",NA,"Snake River Lower Mainstem","Chinook","fall","Snake River",1990,317,0.246
