"Series","Method","Citation","Contributor","NMFS_POPID","ESU","MAJOR_POPULATION_GROUP","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","SPECIES","RUN_TIMING","STREAM_NAME","BROOD_YEAR","NUMBER_OF_SPAWNERS","FRACWILD"
"ICSRSSchinookModel","Model","CAX05262020","Nez Perce Tribe",93,"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake","Tucannon River","Tucannon R.",1.1,"Chinook salmon",NA,"Tucannon River",2010,72,1
"ICSRSSchinookModel","Model","CAX05262021","Nez Perce Tribe",93,"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake","Tucannon River","Tucannon R.",1.1,"Chinook salmon",NA,"Tucannon River",2011,28,1
"ICSRSSchinookModel","Model","CAX05262022","Nez Perce Tribe",93,"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake","Tucannon River","Tucannon R.",1.1,"Chinook salmon",NA,"Tucannon River",2012,90,1
"ICSRSSchinookModel","Model","CAX05262023","Nez Perce Tribe",93,"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake","Tucannon River","Tucannon R.",1.1,"Chinook salmon",NA,"Tucannon River",2013,38,1
"ICSRSSchinookModel","Model","CAX05262024","Nez Perce Tribe",93,"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake","Tucannon River","Tucannon R.",1.1,"Chinook salmon",NA,"Tucannon River",2014,118,1
"ICSRSSchinookModel","Model","CAX05262025","Nez Perce Tribe",93,"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake","Tucannon River","Tucannon R.",1.1,"Chinook salmon",NA,"Tucannon River",2015,168,1
"ICSRSSchinookModel","Model","CAX05262026","Nez Perce Tribe",93,"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake","Tucannon River","Tucannon R.",1.1,"Chinook salmon",NA,"Tucannon River",2016,80,1
"ICSRSSchinookModel","Model","CAX05262027","Nez Perce Tribe",93,"Salmon, Chinook (Snake River spring/summer-run ESU)","Lower Snake","Tucannon River","Tucannon R.",1.1,"Chinook salmon",NA,"Tucannon River",2017,63,1
"ICSRSSchinookModel","Model","CAX05262029","Nez Perce Tribe",74,"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha","Lookingglass Creek","Lookingglass Ck.",2.2,"Chinook salmon",NA,"Lookingglass Creek",2010,74,1
"ICSRSSchinookModel","Model","CAX05262030","Nez Perce Tribe",74,"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha","Lookingglass Creek","Lookingglass Ck.",2.2,"Chinook salmon",NA,"Lookingglass Creek",2011,315,1
"ICSRSSchinookModel","Model","CAX05262031","Nez Perce Tribe",74,"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha","Lookingglass Creek","Lookingglass Ck.",2.2,"Chinook salmon",NA,"Lookingglass Creek",2012,164,1
"ICSRSSchinookModel","Model","CAX05262032","Nez Perce Tribe",74,"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha","Lookingglass Creek","Lookingglass Ck.",2.2,"Chinook salmon",NA,"Lookingglass Creek",2013,186,1
"ICSRSSchinookModel","Model","CAX05262033","Nez Perce Tribe",74,"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha","Lookingglass Creek","Lookingglass Ck.",2.2,"Chinook salmon",NA,"Lookingglass Creek",2014,190,1
"ICSRSSchinookModel","Model","CAX05262034","Nez Perce Tribe",74,"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha","Lookingglass Creek","Lookingglass Ck.",2.2,"Chinook salmon",NA,"Lookingglass Creek",2015,241,1
"ICSRSSchinookModel","Model","CAX05262035","Nez Perce Tribe",74,"Salmon, Chinook (Snake River spring/summer-run ESU)","Grande Ronde/Imnaha","Lookingglass Creek","Lookingglass Ck.",2.2,"Chinook salmon",NA,"Lookingglass Creek",2016,292,1
