"Series","Method","Citation","Contributor","NMFS_POPID","ESU","MAJOR_POPULATION_GROUP","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","SPECIES","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD"
"CRchum2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",115,"Salmon, chum (Columbia River ESU)","Coast","Grays/Chinook Fall Chum","Grays & Chinook Rs.","1.1.1","Chum salmon","Fall","Grays River",2001,4742,0.895
"CRchum2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",115,"Salmon, chum (Columbia River ESU)","Coast","Grays/Chinook Fall Chum","Grays & Chinook Rs.","1.1.1","Chum salmon","Fall","Grays River",2002,11713,0.896
"CRchum2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",115,"Salmon, chum (Columbia River ESU)","Coast","Grays/Chinook Fall Chum","Grays & Chinook Rs.","1.1.1","Chum salmon","Fall","Grays River",2003,16669,0.933
"CRchum2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",115,"Salmon, chum (Columbia River ESU)","Coast","Grays/Chinook Fall Chum","Grays & Chinook Rs.","1.1.1","Chum salmon","Fall","Grays River",2004,13716,0.959
"CRchum2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",115,"Salmon, chum (Columbia River ESU)","Coast","Grays/Chinook Fall Chum","Grays & Chinook Rs.","1.1.1","Chum salmon","Fall","Grays River",2005,4204,0.903
"CRchum2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",115,"Salmon, chum (Columbia River ESU)","Coast","Grays/Chinook Fall Chum","Grays & Chinook Rs.","1.1.1","Chum salmon","Fall","Grays River",2006,6605,0.933
"CRchum2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",115,"Salmon, chum (Columbia River ESU)","Coast","Grays/Chinook Fall Chum","Grays & Chinook Rs.","1.1.1","Chum salmon","Fall","Grays River",2007,3999,0.955
"CRchum2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",115,"Salmon, chum (Columbia River ESU)","Coast","Grays/Chinook Fall Chum","Grays & Chinook Rs.","1.1.1","Chum salmon","Fall","Grays River",2008,2608,0.921
"CRchum2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",115,"Salmon, chum (Columbia River ESU)","Coast","Grays/Chinook Fall Chum","Grays & Chinook Rs.","1.1.1","Chum salmon","Fall","Grays River",2009,2876,0.965
"CRchum2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",115,"Salmon, chum (Columbia River ESU)","Coast","Grays/Chinook Fall Chum","Grays & Chinook Rs.","1.1.1","Chum salmon","Fall","Grays River",2010,6380,0.953
