"Series","Method","Citation","Contributor","NMFS_POPID","ESU","Species","MAJOR_POPULATION_GROUP","DISPLAY_ORDER","POP_NAME_LONG","COMMON_POPULATION_NAME","RUN_TIMING","START_YEAR","END_YEAR","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","Age1","Age2","Age3","Age4","Age5"
"HCChumSR2020",NA,"A&P_P1bStraitsChumALL_SScombo_V78_19","WDFW, Point No Point Treaty Council",127,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Strait of Juan de Fuca","Strait of Juan de Fuca","SumR",NA,"1971-2019",1971,1281,1,-99,-99,-99,-99,-99
"HCChumSR2020",NA,"A&P_P1bStraitsChumALL_SScombo_V78_19","WDFW, Point No Point Treaty Council",127,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Strait of Juan de Fuca","Strait of Juan de Fuca","SumR",NA,"1971-2019",1972,1362,1,-99,-99,-99,-99,-99
"HCChumSR2020",NA,"A&P_P1bStraitsChumALL_SScombo_V78_19","WDFW, Point No Point Treaty Council",127,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Strait of Juan de Fuca","Strait of Juan de Fuca","SumR",NA,"1971-2019",1973,1648,1,-99,-99,-99,-99,-99
"HCChumSR2020",NA,"A&P_P1bStraitsChumALL_SScombo_V78_19","WDFW, Point No Point Treaty Council",127,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Strait of Juan de Fuca","Strait of Juan de Fuca","SumR",NA,"1971-2019",1974,1768,1,0,0.02,0.23,0.74,0
"HCChumSR2020",NA,"A&P_P1bStraitsChumALL_SScombo_V78_19","WDFW, Point No Point Treaty Council",127,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Strait of Juan de Fuca","Strait of Juan de Fuca","SumR",NA,"1971-2019",1975,1448,1,0,0.01,0.79,0.19,0.02
"HCChumSR2020",NA,"A&P_P1bStraitsChumALL_SScombo_V78_19","WDFW, Point No Point Treaty Council",127,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Strait of Juan de Fuca","Strait of Juan de Fuca","SumR",NA,"1971-2019",1976,1494,1,0,0.03,0.26,0.7,0.01
"HCChumSR2020",NA,"A&P_P1bStraitsChumALL_SScombo_V78_19","WDFW, Point No Point Treaty Council",127,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Strait of Juan de Fuca","Strait of Juan de Fuca","SumR",NA,"1971-2019",1977,1644,1,0,0.02,0.81,0.15,0.01
"HCChumSR2020",NA,"A&P_P1bStraitsChumALL_SScombo_V78_19","WDFW, Point No Point Treaty Council",127,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Strait of Juan de Fuca","Strait of Juan de Fuca","SumR",NA,"1971-2019",1978,3080,1,0,0,0.52,0.48,0
"HCChumSR2020",NA,"A&P_P1bStraitsChumALL_SScombo_V78_19","WDFW, Point No Point Treaty Council",127,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Strait of Juan de Fuca","Strait of Juan de Fuca","SumR",NA,"1971-2019",1979,761,1,0,0.05,0.34,0.59,0.02
"HCChumSR2020",NA,"A&P_P1bStraitsChumALL_SScombo_V78_19","WDFW, Point No Point Treaty Council",127,"Salmon, chum (Hood Canal summer-run ESU)","Summer Chum",NA,NA,"Strait of Juan de Fuca","Strait of Juan de Fuca","SumR",NA,"1971-2019",1980,5109,1,0,0,0.84,0.15,0.01
