"Series","Method","Citation","Contributor","NMFS_POPID","ESU","MAJOR_POPULATION_GROUP","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","SPECIES","RUN_TIMING","STREAM_NAME","BROOD_YEAR","NUMBER_OF_SPAWNERS","FRACWILD"
"LCcoho2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",135,"Salmon, coho (Lower Columbia River ESU)","Coast","Grays and Chinook Rivers - late Coho salmon","Grays & Chinook Rs.","1.1.1","Coho salmon","Late","Grays River",2010,1598,0.169
"LCcoho2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",135,"Salmon, coho (Lower Columbia River ESU)","Coast","Grays and Chinook Rivers - late Coho salmon","Grays & Chinook Rs.","1.1.1","Coho salmon","Late","Grays River",2011,1292,0.041
"LCcoho2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",135,"Salmon, coho (Lower Columbia River ESU)","Coast","Grays and Chinook Rivers - late Coho salmon","Grays & Chinook Rs.","1.1.1","Coho salmon","Late","Grays River",2012,725,0.598
"LCcoho2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",135,"Salmon, coho (Lower Columbia River ESU)","Coast","Grays and Chinook Rivers - late Coho salmon","Grays & Chinook Rs.","1.1.1","Coho salmon","Late","Grays River",2013,1838,0.368
"LCcoho2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",135,"Salmon, coho (Lower Columbia River ESU)","Coast","Grays and Chinook Rivers - late Coho salmon","Grays & Chinook Rs.","1.1.1","Coho salmon","Late","Grays River",2014,4367,0.65
"LCcoho2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",135,"Salmon, coho (Lower Columbia River ESU)","Coast","Grays and Chinook Rivers - late Coho salmon","Grays & Chinook Rs.","1.1.1","Coho salmon","Late","Grays River",2015,442,0.322
"LCcoho2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",135,"Salmon, coho (Lower Columbia River ESU)","Coast","Grays and Chinook Rivers - late Coho salmon","Grays & Chinook Rs.","1.1.1","Coho salmon","Late","Grays River",2016,1224,0.398
"LCcoho2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",135,"Salmon, coho (Lower Columbia River ESU)","Coast","Grays and Chinook Rivers - late Coho salmon","Grays & Chinook Rs.","1.1.1","Coho salmon","Late","Grays River",2017,895,0.197
"LCcoho2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",135,"Salmon, coho (Lower Columbia River ESU)","Coast","Grays and Chinook Rivers - late Coho salmon","Grays & Chinook Rs.","1.1.1","Coho salmon","Late","Grays River",2018,1044,0.158
"LCcoho2020","Survey","CAX05262020","Oregon Department of Fish and Wildlife",152,"Salmon, coho (Lower Columbia River ESU)","Coast","Youngs Bay","Youngs Bay","1.1.2","Coho salmon","Late","Klaskanine River",2002,47,-99
"LCcoho2020","Survey","CAX05262020","Oregon Department of Fish and Wildlife",152,"Salmon, coho (Lower Columbia River ESU)","Coast","Youngs Bay","Youngs Bay","1.1.2","Coho salmon","Late","Klaskanine River",2003,68,-99
"LCcoho2020","Survey","CAX05262020","Oregon Department of Fish and Wildlife",152,"Salmon, coho (Lower Columbia River ESU)","Coast","Youngs Bay","Youngs Bay","1.1.2","Coho salmon","Late","Klaskanine River",2004,21,-99
"LCcoho2020","Survey","CAX05262020","Oregon Department of Fish and Wildlife",152,"Salmon, coho (Lower Columbia River ESU)","Coast","Youngs Bay","Youngs Bay","1.1.2","Coho salmon","Late","Klaskanine River",2005,2,-99
"LCcoho2020","Survey","CAX05262020","Oregon Department of Fish and Wildlife",152,"Salmon, coho (Lower Columbia River ESU)","Coast","Youngs Bay","Youngs Bay","1.1.2","Coho salmon","Late","Klaskanine River",2006,11,-99
"LCcoho2020","Survey","CAX05262020","Oregon Department of Fish and Wildlife",152,"Salmon, coho (Lower Columbia River ESU)","Coast","Youngs Bay","Youngs Bay","1.1.2","Coho salmon","Late","Klaskanine River",2007,23,-99
