"SERIES","ESU","SPECIES","METHOD","MAJOR_POPULATION_GROUP","NMFS_POPID","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CONTRIBUTOR","COMPILER","CITATION","LINE_NOTES"
"ICSRSSchinookSurvey2020","Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","South Fork Salmon",65,"Johnson Creek","EF SF Salmon R.",3.4,NA,"Johnson Creek",1987,124,1,"Nez Perce Tribe","Mari Williams","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1987-2018). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2246. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",NA
"ICSRSSchinookSurvey2020","Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","South Fork Salmon",65,"Johnson Creek","EF SF Salmon R.",3.4,NA,"Johnson Creek",1988,280,1,"Nez Perce Tribe","Mari Williams","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1987-2018). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2246. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",NA
"ICSRSSchinookSurvey2020","Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","South Fork Salmon",65,"Johnson Creek","EF SF Salmon R.",3.4,NA,"Johnson Creek",1989,72,1,"Nez Perce Tribe","Mari Williams","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1987-2018). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2246. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",NA
"ICSRSSchinookSurvey2020","Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","South Fork Salmon",65,"Johnson Creek","EF SF Salmon R.",3.4,NA,"Johnson Creek",1990,207,1,"Nez Perce Tribe","Mari Williams","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1987-2018). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2246. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",NA
"ICSRSSchinookSurvey2020","Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","South Fork Salmon",65,"Johnson Creek","EF SF Salmon R.",3.4,NA,"Johnson Creek",1991,87,1,"Nez Perce Tribe","Mari Williams","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1987-2018). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2246. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",NA
"ICSRSSchinookSurvey2020","Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","South Fork Salmon",65,"Johnson Creek","EF SF Salmon R.",3.4,NA,"Johnson Creek",1992,228,1,"Nez Perce Tribe","Mari Williams","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1987-2018). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2246. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",NA
"ICSRSSchinookSurvey2020","Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","South Fork Salmon",65,"Johnson Creek","EF SF Salmon R.",3.4,NA,"Johnson Creek",1993,220,0.99,"Nez Perce Tribe","Mari Williams","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1987-2018). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2246. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",NA
"ICSRSSchinookSurvey2020","Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","South Fork Salmon",65,"Johnson Creek","EF SF Salmon R.",3.4,NA,"Johnson Creek",1994,23,1,"Nez Perce Tribe","Mari Williams","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1987-2018). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2246. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",NA
"ICSRSSchinookSurvey2020","Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","South Fork Salmon",65,"Johnson Creek","EF SF Salmon R.",3.4,NA,"Johnson Creek",1995,5,1,"Nez Perce Tribe","Mari Williams","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1987-2018). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2246. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",NA
"ICSRSSchinookSurvey2020","Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","South Fork Salmon",65,"Johnson Creek","EF SF Salmon R.",3.4,NA,"Johnson Creek",1996,34,0.95,"Nez Perce Tribe","Mari Williams","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (1987-2018). Spawner abundance data. Nez Perce Tribe. Protocol and Methods available at https://www.monitoringresources.org/Document/Protocol/Details/2246. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",NA
