"SERIES","ESU","SPECIES","METHOD","MAJOR_POPULATION_GROUP","NMFS_POPID","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CONTRIBUTOR","COMPILER","CITATION","LINE_NOTES"
"LCcoho2020","Salmon, coho (Lower Columbia River ESU)","Coho salmon","Survey","Coast",135,"Grays and Chinook Rivers - late Coho salmon","Grays & Chinook Rs.","1.1.1","Late","Grays River",2010,1598,0.169,"Washington Department of Fish and Wildlife","Mari Williams","Columbia River Coho Natural Origin Spawner Abundance Dataset (2010-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
"LCcoho2020","Salmon, coho (Lower Columbia River ESU)","Coho salmon","Survey","Coast",135,"Grays and Chinook Rivers - late Coho salmon","Grays & Chinook Rs.","1.1.1","Late","Grays River",2011,1292,0.041,"Washington Department of Fish and Wildlife","Mari Williams","Columbia River Coho Natural Origin Spawner Abundance Dataset (2010-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
"LCcoho2020","Salmon, coho (Lower Columbia River ESU)","Coho salmon","Survey","Coast",135,"Grays and Chinook Rivers - late Coho salmon","Grays & Chinook Rs.","1.1.1","Late","Grays River",2012,725,0.598,"Washington Department of Fish and Wildlife","Mari Williams","Columbia River Coho Natural Origin Spawner Abundance Dataset (2010-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
"LCcoho2020","Salmon, coho (Lower Columbia River ESU)","Coho salmon","Survey","Coast",135,"Grays and Chinook Rivers - late Coho salmon","Grays & Chinook Rs.","1.1.1","Late","Grays River",2013,1838,0.368,"Washington Department of Fish and Wildlife","Mari Williams","Columbia River Coho Natural Origin Spawner Abundance Dataset (2010-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
"LCcoho2020","Salmon, coho (Lower Columbia River ESU)","Coho salmon","Survey","Coast",135,"Grays and Chinook Rivers - late Coho salmon","Grays & Chinook Rs.","1.1.1","Late","Grays River",2014,4367,0.65,"Washington Department of Fish and Wildlife","Mari Williams","Columbia River Coho Natural Origin Spawner Abundance Dataset (2010-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
"LCcoho2020","Salmon, coho (Lower Columbia River ESU)","Coho salmon","Survey","Coast",135,"Grays and Chinook Rivers - late Coho salmon","Grays & Chinook Rs.","1.1.1","Late","Grays River",2015,442,0.322,"Washington Department of Fish and Wildlife","Mari Williams","Columbia River Coho Natural Origin Spawner Abundance Dataset (2010-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
"LCcoho2020","Salmon, coho (Lower Columbia River ESU)","Coho salmon","Survey","Coast",135,"Grays and Chinook Rivers - late Coho salmon","Grays & Chinook Rs.","1.1.1","Late","Grays River",2016,1224,0.398,"Washington Department of Fish and Wildlife","Mari Williams","Columbia River Coho Natural Origin Spawner Abundance Dataset (2010-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
"LCcoho2020","Salmon, coho (Lower Columbia River ESU)","Coho salmon","Survey","Coast",135,"Grays and Chinook Rivers - late Coho salmon","Grays & Chinook Rs.","1.1.1","Late","Grays River",2017,895,0.197,"Washington Department of Fish and Wildlife","Mari Williams","Columbia River Coho Natural Origin Spawner Abundance Dataset (2010-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
"LCcoho2020","Salmon, coho (Lower Columbia River ESU)","Coho salmon","Survey","Coast",135,"Grays and Chinook Rivers - late Coho salmon","Grays & Chinook Rs.","1.1.1","Late","Grays River",2018,1044,0.158,"Washington Department of Fish and Wildlife","Mari Williams","Columbia River Coho Natural Origin Spawner Abundance Dataset (2010-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
"LCcoho2020","Salmon, coho (Lower Columbia River ESU)","Coho salmon","Survey","Coast",152,"Youngs Bay","Youngs Bay","1.1.2","Late","Klaskanine River",2002,47,-99,"Oregon Department of Fish and Wildlife","Mari Williams","Columbia River Coho Natural Origin Spawner Abundance Dataset (2002-2019). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",NA
