"Series","Method","Citation","Contributor","NMFS_POPID","ESU","MAJOR_POPULATION_GROUP","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","SPECIES","RUN_TIMING","STREAM_NAME","BROOD_YEAR","NUMBER_OF_SPAWNERS","FRACWILD"
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",227,"Steelhead (Lower Columbia River DPS)","Cascade winter","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Steelhead","Winter","Coweeman River",1987,889,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",227,"Steelhead (Lower Columbia River DPS)","Cascade winter","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Steelhead","Winter","Coweeman River",1988,1088,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",227,"Steelhead (Lower Columbia River DPS)","Cascade winter","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Steelhead","Winter","Coweeman River",1989,392,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",227,"Steelhead (Lower Columbia River DPS)","Cascade winter","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Steelhead","Winter","Coweeman River",1990,522,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",227,"Steelhead (Lower Columbia River DPS)","Cascade winter","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Steelhead","Winter","Coweeman River",1993,438,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",227,"Steelhead (Lower Columbia River DPS)","Cascade winter","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Steelhead","Winter","Coweeman River",1994,362,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",227,"Steelhead (Lower Columbia River DPS)","Cascade winter","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Steelhead","Winter","Coweeman River",1997,108,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",227,"Steelhead (Lower Columbia River DPS)","Cascade winter","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Steelhead","Winter","Coweeman River",1998,486,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",227,"Steelhead (Lower Columbia River DPS)","Cascade winter","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Steelhead","Winter","Coweeman River",1999,198,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",227,"Steelhead (Lower Columbia River DPS)","Cascade winter","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Steelhead","Winter","Coweeman River",2000,530,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",227,"Steelhead (Lower Columbia River DPS)","Cascade winter","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Steelhead","Winter","Coweeman River",2001,384,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",227,"Steelhead (Lower Columbia River DPS)","Cascade winter","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Steelhead","Winter","Coweeman River",2002,298,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",227,"Steelhead (Lower Columbia River DPS)","Cascade winter","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Steelhead","Winter","Coweeman River",2003,460,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",227,"Steelhead (Lower Columbia River DPS)","Cascade winter","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Steelhead","Winter","Coweeman River",2004,722,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",227,"Steelhead (Lower Columbia River DPS)","Cascade winter","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Steelhead","Winter","Coweeman River",2005,370,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",227,"Steelhead (Lower Columbia River DPS)","Cascade winter","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Steelhead","Winter","Coweeman River",2006,372,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",227,"Steelhead (Lower Columbia River DPS)","Cascade winter","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Steelhead","Winter","Coweeman River",2007,384,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",227,"Steelhead (Lower Columbia River DPS)","Cascade winter","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Steelhead","Winter","Coweeman River",2008,722,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",227,"Steelhead (Lower Columbia River DPS)","Cascade winter","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Steelhead","Winter","Coweeman River",2009,602,-99
"LCsthd2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",227,"Steelhead (Lower Columbia River DPS)","Cascade winter","Coweeman Winter Steelhead","Coweeman R.","1.2.1.1","Steelhead","Winter","Coweeman River",2010,528,-99
