"Series","Method","Citation","Contributor","NMFS_POPID","ESU","MAJOR_POPULATION_GROUP","Population_name","COMMON_POPULATION_NAME","DISPLAY_ORDER","SPECIES","RUN_TIMING","STREAM_NAME","BROOD_YEAR","NUMBER_OF_SPAWNERS","FRACWILD"
"ICMC2021","Survey","CAX05262020","Yakama Nation Fisheries",254,"Steelhead (Middle Columbia River DPS)","Cascades Eastern Slope Tributaries","Klickitat River","Klickitat R.",1.2,"Steelhead","Su&Wi","Klickitat River",2006,1577,1
"ICMC2021","Survey","CAX05262020","Yakama Nation Fisheries",254,"Steelhead (Middle Columbia River DPS)","Cascades Eastern Slope Tributaries","Klickitat River","Klickitat R.",1.2,"Steelhead","Su&Wi","Klickitat River",2007,1669,1
"ICMC2021","Survey","CAX05262020","Yakama Nation Fisheries",254,"Steelhead (Middle Columbia River DPS)","Cascades Eastern Slope Tributaries","Klickitat River","Klickitat R.",1.2,"Steelhead","Su&Wi","Klickitat River",2008,-99,-99
"ICMC2021","Survey","CAX05262020","Yakama Nation Fisheries",254,"Steelhead (Middle Columbia River DPS)","Cascades Eastern Slope Tributaries","Klickitat River","Klickitat R.",1.2,"Steelhead","Su&Wi","Klickitat River",2009,-99,-99
"ICMC2021","Survey","CAX05262020","Yakama Nation Fisheries",254,"Steelhead (Middle Columbia River DPS)","Cascades Eastern Slope Tributaries","Klickitat River","Klickitat R.",1.2,"Steelhead","Su&Wi","Klickitat River",2010,1290,1
"ICMC2021","Survey","CAX05262020","Yakama Nation Fisheries",254,"Steelhead (Middle Columbia River DPS)","Cascades Eastern Slope Tributaries","Klickitat River","Klickitat R.",1.2,"Steelhead","Su&Wi","Klickitat River",2011,1111,1
"ICMC2021","Survey","CAX05262020","Yakama Nation Fisheries",254,"Steelhead (Middle Columbia River DPS)","Cascades Eastern Slope Tributaries","Klickitat River","Klickitat R.",1.2,"Steelhead","Su&Wi","Klickitat River",2012,2483,1
"ICMC2021","Survey","CAX05262020","Yakama Nation Fisheries",254,"Steelhead (Middle Columbia River DPS)","Cascades Eastern Slope Tributaries","Klickitat River","Klickitat R.",1.2,"Steelhead","Su&Wi","Klickitat River",2013,1063,1
"ICMC2021","Survey","CAX05262020","Yakama Nation Fisheries",254,"Steelhead (Middle Columbia River DPS)","Cascades Eastern Slope Tributaries","Klickitat River","Klickitat R.",1.2,"Steelhead","Su&Wi","Klickitat River",2014,1222,1
"ICMC2021","Survey","CAX05262020","Yakama Nation Fisheries",254,"Steelhead (Middle Columbia River DPS)","Cascades Eastern Slope Tributaries","Klickitat River","Klickitat R.",1.2,"Steelhead","Su&Wi","Klickitat River",2015,2956,1
"ICMC2021","Survey","CAX05262020","Yakama Nation Fisheries",254,"Steelhead (Middle Columbia River DPS)","Cascades Eastern Slope Tributaries","Klickitat River","Klickitat R.",1.2,"Steelhead","Su&Wi","Klickitat River",2016,3270,1
"ICMC2021","Survey","CAX05262020","Yakama Nation Fisheries",254,"Steelhead (Middle Columbia River DPS)","Cascades Eastern Slope Tributaries","Klickitat River","Klickitat R.",1.2,"Steelhead","Su&Wi","Klickitat River",2017,544,1
