"NMFS_POPID","Species","MPG","ESU","RUN_TIMING","DISPLAY_ORDER","POP_NAME_LONG","COMMON_POPULATION_NAME","Pop_All_short_names_RUN_TIMING","PSChinook_Chum_Steelhead_RUN_TIMING","YEAR","VIABILITY_TYPE","NUMBER_OF_SPAWNERS","SPAWNER_NOTES","FRACWILD","HATCHERY_FRACTION","HATCHERY_FRACTION_NOTES"
285,"Steelhead","Northern Cascades","Steelhead (Puget Sound DPS)",NA,1,"Samish River and Bellingham Bay Tributaries - winter Steelhead","Samish R./Bellingham Bay Tribs.",NA,"WR",1979,NA,224,NA,1,NA,NA
285,"Steelhead","Northern Cascades","Steelhead (Puget Sound DPS)",NA,1,"Samish River and Bellingham Bay Tributaries - winter Steelhead","Samish R./Bellingham Bay Tribs.",NA,"WR",1980,NA,80,NA,1,NA,NA
285,"Steelhead","Northern Cascades","Steelhead (Puget Sound DPS)",NA,1,"Samish River and Bellingham Bay Tributaries - winter Steelhead","Samish R./Bellingham Bay Tribs.",NA,"WR",1981,NA,142,NA,1,NA,NA
285,"Steelhead","Northern Cascades","Steelhead (Puget Sound DPS)",NA,1,"Samish River and Bellingham Bay Tributaries - winter Steelhead","Samish R./Bellingham Bay Tribs.",NA,"WR",1982,NA,-99,NA,1,NA,NA
285,"Steelhead","Northern Cascades","Steelhead (Puget Sound DPS)",NA,1,"Samish River and Bellingham Bay Tributaries - winter Steelhead","Samish R./Bellingham Bay Tribs.",NA,"WR",1983,NA,-99,NA,1,NA,NA
285,"Steelhead","Northern Cascades","Steelhead (Puget Sound DPS)",NA,1,"Samish River and Bellingham Bay Tributaries - winter Steelhead","Samish R./Bellingham Bay Tribs.",NA,"WR",1984,NA,-99,NA,1,NA,NA
285,"Steelhead","Northern Cascades","Steelhead (Puget Sound DPS)",NA,1,"Samish River and Bellingham Bay Tributaries - winter Steelhead","Samish R./Bellingham Bay Tribs.",NA,"WR",1985,NA,1052,NA,1,NA,NA
285,"Steelhead","Northern Cascades","Steelhead (Puget Sound DPS)",NA,1,"Samish River and Bellingham Bay Tributaries - winter Steelhead","Samish R./Bellingham Bay Tribs.",NA,"WR",1986,NA,-99,NA,1,NA,NA
285,"Steelhead","Northern Cascades","Steelhead (Puget Sound DPS)",NA,1,"Samish River and Bellingham Bay Tributaries - winter Steelhead","Samish R./Bellingham Bay Tribs.",NA,"WR",1987,NA,836,NA,1,NA,NA
285,"Steelhead","Northern Cascades","Steelhead (Puget Sound DPS)",NA,1,"Samish River and Bellingham Bay Tributaries - winter Steelhead","Samish R./Bellingham Bay Tribs.",NA,"WR",1988,NA,606,NA,1,NA,NA
285,"Steelhead","Northern Cascades","Steelhead (Puget Sound DPS)",NA,1,"Samish River and Bellingham Bay Tributaries - winter Steelhead","Samish R./Bellingham Bay Tribs.",NA,"WR",1989,NA,244,NA,1,NA,NA
285,"Steelhead","Northern Cascades","Steelhead (Puget Sound DPS)",NA,1,"Samish River and Bellingham Bay Tributaries - winter Steelhead","Samish R./Bellingham Bay Tribs.",NA,"WR",1990,NA,106,NA,1,NA,NA
285,"Steelhead","Northern Cascades","Steelhead (Puget Sound DPS)",NA,1,"Samish River and Bellingham Bay Tributaries - winter Steelhead","Samish R./Bellingham Bay Tribs.",NA,"WR",1991,NA,-99,NA,1,NA,NA
285,"Steelhead","Northern Cascades","Steelhead (Puget Sound DPS)",NA,1,"Samish River and Bellingham Bay Tributaries - winter Steelhead","Samish R./Bellingham Bay Tribs.",NA,"WR",1992,NA,-99,NA,1,NA,NA
285,"Steelhead","Northern Cascades","Steelhead (Puget Sound DPS)",NA,1,"Samish River and Bellingham Bay Tributaries - winter Steelhead","Samish R./Bellingham Bay Tribs.",NA,"WR",1993,NA,-99,NA,1,NA,NA
285,"Steelhead","Northern Cascades","Steelhead (Puget Sound DPS)",NA,1,"Samish River and Bellingham Bay Tributaries - winter Steelhead","Samish R./Bellingham Bay Tribs.",NA,"WR",1994,NA,941,NA,1,NA,NA
285,"Steelhead","Northern Cascades","Steelhead (Puget Sound DPS)",NA,1,"Samish River and Bellingham Bay Tributaries - winter Steelhead","Samish R./Bellingham Bay Tribs.",NA,"WR",1995,NA,918,NA,1,NA,NA
285,"Steelhead","Northern Cascades","Steelhead (Puget Sound DPS)",NA,1,"Samish River and Bellingham Bay Tributaries - winter Steelhead","Samish R./Bellingham Bay Tribs.",NA,"WR",1996,NA,797,NA,1,NA,NA
285,"Steelhead","Northern Cascades","Steelhead (Puget Sound DPS)",NA,1,"Samish River and Bellingham Bay Tributaries - winter Steelhead","Samish R./Bellingham Bay Tribs.",NA,"WR",1997,NA,-99,NA,1,NA,NA
285,"Steelhead","Northern Cascades","Steelhead (Puget Sound DPS)",NA,1,"Samish River and Bellingham Bay Tributaries - winter Steelhead","Samish R./Bellingham Bay Tribs.",NA,"WR",1998,NA,586,NA,1,NA,NA
285,"Steelhead","Northern Cascades","Steelhead (Puget Sound DPS)",NA,1,"Samish River and Bellingham Bay Tributaries - winter Steelhead","Samish R./Bellingham Bay Tribs.",NA,"WR",1999,NA,617,NA,1,NA,NA
285,"Steelhead","Northern Cascades","Steelhead (Puget Sound DPS)",NA,1,"Samish River and Bellingham Bay Tributaries - winter Steelhead","Samish R./Bellingham Bay Tribs.",NA,"WR",2000,NA,676,NA,1,NA,NA
285,"Steelhead","Northern Cascades","Steelhead (Puget Sound DPS)",NA,1,"Samish River and Bellingham Bay Tributaries - winter Steelhead","Samish R./Bellingham Bay Tribs.",NA,"WR",2001,NA,908,NA,1,NA,NA
285,"Steelhead","Northern Cascades","Steelhead (Puget Sound DPS)",NA,1,"Samish River and Bellingham Bay Tributaries - winter Steelhead","Samish R./Bellingham Bay Tribs.",NA,"WR",2002,NA,859,NA,1,NA,NA
285,"Steelhead","Northern Cascades","Steelhead (Puget Sound DPS)",NA,1,"Samish River and Bellingham Bay Tributaries - winter Steelhead","Samish R./Bellingham Bay Tribs.",NA,"WR",2003,NA,915,NA,1,NA,NA
285,"Steelhead","Northern Cascades","Steelhead (Puget Sound DPS)",NA,1,"Samish River and Bellingham Bay Tributaries - winter Steelhead","Samish R./Bellingham Bay Tribs.",NA,"WR",2004,NA,930,NA,1,NA,NA
285,"Steelhead","Northern Cascades","Steelhead (Puget Sound DPS)",NA,1,"Samish River and Bellingham Bay Tributaries - winter Steelhead","Samish R./Bellingham Bay Tribs.",NA,"WR",2005,NA,597,NA,1,NA,NA
285,"Steelhead","Northern Cascades","Steelhead (Puget Sound DPS)",NA,1,"Samish River and Bellingham Bay Tributaries - winter Steelhead","Samish R./Bellingham Bay Tribs.",NA,"WR",2006,NA,791,NA,1,NA,NA
285,"Steelhead","Northern Cascades","Steelhead (Puget Sound DPS)",NA,1,"Samish River and Bellingham Bay Tributaries - winter Steelhead","Samish R./Bellingham Bay Tribs.",NA,"WR",2007,NA,494,NA,1,NA,NA
