"Series","Method","Citation","Contributor","NMFS_POPID","ESU","MAJOR_POPULATION_GROUP","Population_name","COMMON_POPULATION_NAME","DISPLAY_ORDER","SPECIES","RUN_TIMING","STREAM_NAME","BROOD_YEAR","NUMBER_OF_SPAWNERS","FRACWILD"
"ICSRsthdSurvey","Survey","CAX05262020","Washington Department of Fish and Wildlife",300,"Steelhead (Snake River Basin DPS)","Lower Snake","Asotin Creek","Asotin Ck.",1.1,"Steelhead",NA,"Asotin Creek",1986,1269,0.81
"ICSRsthdSurvey","Survey","CAX05262020","Washington Department of Fish and Wildlife",300,"Steelhead (Snake River Basin DPS)","Lower Snake","Asotin Creek","Asotin Ck.",1.1,"Steelhead",NA,"Asotin Creek",1987,831,0.73
"ICSRsthdSurvey","Survey","CAX05262020","Washington Department of Fish and Wildlife",300,"Steelhead (Snake River Basin DPS)","Lower Snake","Asotin Creek","Asotin Ck.",1.1,"Steelhead",NA,"Asotin Creek",1988,548,0.5
"ICSRsthdSurvey","Survey","CAX05262020","Washington Department of Fish and Wildlife",300,"Steelhead (Snake River Basin DPS)","Lower Snake","Asotin Creek","Asotin Ck.",1.1,"Steelhead",NA,"Asotin Creek",1989,370,0.67
"ICSRsthdSurvey","Survey","CAX05262020","Washington Department of Fish and Wildlife",300,"Steelhead (Snake River Basin DPS)","Lower Snake","Asotin Creek","Asotin Ck.",1.1,"Steelhead",NA,"Asotin Creek",1990,381,0.67
"ICSRsthdSurvey","Survey","CAX05262020","Washington Department of Fish and Wildlife",300,"Steelhead (Snake River Basin DPS)","Lower Snake","Asotin Creek","Asotin Ck.",1.1,"Steelhead",NA,"Asotin Creek",1991,418,0.8
"ICSRsthdSurvey","Survey","CAX05262020","Washington Department of Fish and Wildlife",300,"Steelhead (Snake River Basin DPS)","Lower Snake","Asotin Creek","Asotin Ck.",1.1,"Steelhead",NA,"Asotin Creek",1992,289,0.24
"ICSRsthdSurvey","Survey","CAX05262020","Washington Department of Fish and Wildlife",300,"Steelhead (Snake River Basin DPS)","Lower Snake","Asotin Creek","Asotin Ck.",1.1,"Steelhead",NA,"Asotin Creek",1993,1008,0.71
"ICSRsthdSurvey","Survey","CAX05262020","Washington Department of Fish and Wildlife",300,"Steelhead (Snake River Basin DPS)","Lower Snake","Asotin Creek","Asotin Ck.",1.1,"Steelhead",NA,"Asotin Creek",1994,253,0.9
"ICSRsthdSurvey","Survey","CAX05262020","Washington Department of Fish and Wildlife",300,"Steelhead (Snake River Basin DPS)","Lower Snake","Asotin Creek","Asotin Ck.",1.1,"Steelhead",NA,"Asotin Creek",1995,567,0.69
"ICSRsthdSurvey","Survey","CAX05262020","Washington Department of Fish and Wildlife",300,"Steelhead (Snake River Basin DPS)","Lower Snake","Asotin Creek","Asotin Ck.",1.1,"Steelhead",NA,"Asotin Creek",1996,659,0.6
"ICSRsthdSurvey","Survey","CAX05262020","Washington Department of Fish and Wildlife",300,"Steelhead (Snake River Basin DPS)","Lower Snake","Asotin Creek","Asotin Ck.",1.1,"Steelhead",NA,"Asotin Creek",1997,397,0.52
"ICSRsthdSurvey","Survey","CAX05262020","Washington Department of Fish and Wildlife",300,"Steelhead (Snake River Basin DPS)","Lower Snake","Asotin Creek","Asotin Ck.",1.1,"Steelhead",NA,"Asotin Creek",1998,436,0.62
"ICSRsthdSurvey","Survey","CAX05262020","Washington Department of Fish and Wildlife",300,"Steelhead (Snake River Basin DPS)","Lower Snake","Asotin Creek","Asotin Ck.",1.1,"Steelhead",NA,"Asotin Creek",1999,552,0.84
"ICSRsthdSurvey","Survey","CAX05262020","Washington Department of Fish and Wildlife",300,"Steelhead (Snake River Basin DPS)","Lower Snake","Asotin Creek","Asotin Ck.",1.1,"Steelhead",NA,"Asotin Creek",2000,431,0.89
