"Series","Method","Citation","Contributor","NMFS_POPID","ESU","MAJOR_POPULATION_GROUP","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","SPECIES","RUN_TIMING","STREAM_NAME","BROOD_YEAR","NUMBER_OF_SPAWNERS","FRACWILD"
"UWsthd2020","LadderCount","pers communication to Jamie Anthony","Oregon Department of Fish and Wildlife",1053,"Steelhead (Upper Willamette River DPS)",NA,"Willamette Falls ESC","Willamette Falls ESC",1.1,"steelhead","winter","Willamette River and tributaries",1971,26647,1
"UWsthd2020","LadderCount","pers communication to Jamie Anthony","Oregon Department of Fish and Wildlife",1053,"Steelhead (Upper Willamette River DPS)",NA,"Willamette Falls ESC","Willamette Falls ESC",1.1,"steelhead","winter","Willamette River and tributaries",1972,23257,1
"UWsthd2020","LadderCount","pers communication to Jamie Anthony","Oregon Department of Fish and Wildlife",1053,"Steelhead (Upper Willamette River DPS)",NA,"Willamette Falls ESC","Willamette Falls ESC",1.1,"steelhead","winter","Willamette River and tributaries",1973,17900,1
"UWsthd2020","LadderCount","pers communication to Jamie Anthony","Oregon Department of Fish and Wildlife",1053,"Steelhead (Upper Willamette River DPS)",NA,"Willamette Falls ESC","Willamette Falls ESC",1.1,"steelhead","winter","Willamette River and tributaries",1974,14824,1
"UWsthd2020","LadderCount","pers communication to Jamie Anthony","Oregon Department of Fish and Wildlife",1053,"Steelhead (Upper Willamette River DPS)",NA,"Willamette Falls ESC","Willamette Falls ESC",1.1,"steelhead","winter","Willamette River and tributaries",1975,6130,1
"UWsthd2020","LadderCount","pers communication to Jamie Anthony","Oregon Department of Fish and Wildlife",1053,"Steelhead (Upper Willamette River DPS)",NA,"Willamette Falls ESC","Willamette Falls ESC",1.1,"steelhead","winter","Willamette River and tributaries",1976,9398,1
"UWsthd2020","LadderCount","pers communication to Jamie Anthony","Oregon Department of Fish and Wildlife",1053,"Steelhead (Upper Willamette River DPS)",NA,"Willamette Falls ESC","Willamette Falls ESC",1.1,"steelhead","winter","Willamette River and tributaries",1977,13604,1
"UWsthd2020","LadderCount","pers communication to Jamie Anthony","Oregon Department of Fish and Wildlife",1053,"Steelhead (Upper Willamette River DPS)",NA,"Willamette Falls ESC","Willamette Falls ESC",1.1,"steelhead","winter","Willamette River and tributaries",1978,16869,1
"UWsthd2020","LadderCount","pers communication to Jamie Anthony","Oregon Department of Fish and Wildlife",1053,"Steelhead (Upper Willamette River DPS)",NA,"Willamette Falls ESC","Willamette Falls ESC",1.1,"steelhead","winter","Willamette River and tributaries",1979,8726,1
"UWsthd2020","LadderCount","pers communication to Jamie Anthony","Oregon Department of Fish and Wildlife",1053,"Steelhead (Upper Willamette River DPS)",NA,"Willamette Falls ESC","Willamette Falls ESC",1.1,"steelhead","winter","Willamette River and tributaries",1980,22356,1
"UWsthd2020","LadderCount","pers communication to Jamie Anthony","Oregon Department of Fish and Wildlife",1053,"Steelhead (Upper Willamette River DPS)",NA,"Willamette Falls ESC","Willamette Falls ESC",1.1,"steelhead","winter","Willamette River and tributaries",1981,16666,1
