"SERIES","ESU","SPECIES","METHOD","MAJOR_POPULATION_GROUP","NMFS_POPID","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CONTRIBUTOR","COMPILER","CITATION","LINE_NOTES"
"ICMC2021","Steelhead (Middle Columbia River DPS)","Steelhead","Survey","Cascades Eastern Slope Tributaries",254,"Klickitat River","Klickitat R.",1.2,"Su&Wi","Klickitat River",2006,1577,1,"Yakama Nation Fisheries","Mari Williams","Middle Columbia River Steelhead Natural Origin Spawner Abundance Dataset (2006-2019). Spawner abundance data. Confederated Tribes and Bands of the Yakama Nation. Protocol and Methods available at https://www.cbfish.org/Document.mvc/Viewer/P148516 and https://www.cbfish.org/Document.mvc/Viewer/P160751. Accessed from www.cax.streamnet.org vers July 1, 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
"ICMC2021","Steelhead (Middle Columbia River DPS)","Steelhead","Survey","Cascades Eastern Slope Tributaries",254,"Klickitat River","Klickitat R.",1.2,"Su&Wi","Klickitat River",2007,1669,1,"Yakama Nation Fisheries","Mari Williams","Middle Columbia River Steelhead Natural Origin Spawner Abundance Dataset (2006-2019). Spawner abundance data. Confederated Tribes and Bands of the Yakama Nation. Protocol and Methods available at https://www.cbfish.org/Document.mvc/Viewer/P148516 and https://www.cbfish.org/Document.mvc/Viewer/P160751. Accessed from www.cax.streamnet.org vers July 1, 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
"ICMC2021","Steelhead (Middle Columbia River DPS)","Steelhead","Survey","Cascades Eastern Slope Tributaries",254,"Klickitat River","Klickitat R.",1.2,"Su&Wi","Klickitat River",2008,-99,-99,"Yakama Nation Fisheries","Mari Williams","Middle Columbia River Steelhead Natural Origin Spawner Abundance Dataset (2006-2019). Spawner abundance data. Confederated Tribes and Bands of the Yakama Nation. Protocol and Methods available at https://www.cbfish.org/Document.mvc/Viewer/P148516 and https://www.cbfish.org/Document.mvc/Viewer/P160751. Accessed from www.cax.streamnet.org vers July 1, 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
"ICMC2021","Steelhead (Middle Columbia River DPS)","Steelhead","Survey","Cascades Eastern Slope Tributaries",254,"Klickitat River","Klickitat R.",1.2,"Su&Wi","Klickitat River",2009,-99,-99,"Yakama Nation Fisheries","Mari Williams","Middle Columbia River Steelhead Natural Origin Spawner Abundance Dataset (2006-2019). Spawner abundance data. Confederated Tribes and Bands of the Yakama Nation. Protocol and Methods available at https://www.cbfish.org/Document.mvc/Viewer/P148516 and https://www.cbfish.org/Document.mvc/Viewer/P160751. Accessed from www.cax.streamnet.org vers July 1, 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
"ICMC2021","Steelhead (Middle Columbia River DPS)","Steelhead","Survey","Cascades Eastern Slope Tributaries",254,"Klickitat River","Klickitat R.",1.2,"Su&Wi","Klickitat River",2010,1290,1,"Yakama Nation Fisheries","Mari Williams","Middle Columbia River Steelhead Natural Origin Spawner Abundance Dataset (2006-2019). Spawner abundance data. Confederated Tribes and Bands of the Yakama Nation. Protocol and Methods available at https://www.cbfish.org/Document.mvc/Viewer/P148516 and https://www.cbfish.org/Document.mvc/Viewer/P160751. Accessed from www.cax.streamnet.org vers July 1, 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
"ICMC2021","Steelhead (Middle Columbia River DPS)","Steelhead","Survey","Cascades Eastern Slope Tributaries",254,"Klickitat River","Klickitat R.",1.2,"Su&Wi","Klickitat River",2011,1111,1,"Yakama Nation Fisheries","Mari Williams","Middle Columbia River Steelhead Natural Origin Spawner Abundance Dataset (2006-2019). Spawner abundance data. Confederated Tribes and Bands of the Yakama Nation. Protocol and Methods available at https://www.cbfish.org/Document.mvc/Viewer/P148516 and https://www.cbfish.org/Document.mvc/Viewer/P160751. Accessed from www.cax.streamnet.org vers July 1, 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
"ICMC2021","Steelhead (Middle Columbia River DPS)","Steelhead","Survey","Cascades Eastern Slope Tributaries",254,"Klickitat River","Klickitat R.",1.2,"Su&Wi","Klickitat River",2012,2483,1,"Yakama Nation Fisheries","Mari Williams","Middle Columbia River Steelhead Natural Origin Spawner Abundance Dataset (2006-2019). Spawner abundance data. Confederated Tribes and Bands of the Yakama Nation. Protocol and Methods available at https://www.cbfish.org/Document.mvc/Viewer/P148516 and https://www.cbfish.org/Document.mvc/Viewer/P160751. Accessed from www.cax.streamnet.org vers July 1, 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
"ICMC2021","Steelhead (Middle Columbia River DPS)","Steelhead","Survey","Cascades Eastern Slope Tributaries",254,"Klickitat River","Klickitat R.",1.2,"Su&Wi","Klickitat River",2013,1063,1,"Yakama Nation Fisheries","Mari Williams","Middle Columbia River Steelhead Natural Origin Spawner Abundance Dataset (2006-2019). Spawner abundance data. Confederated Tribes and Bands of the Yakama Nation. Protocol and Methods available at https://www.cbfish.org/Document.mvc/Viewer/P148516 and https://www.cbfish.org/Document.mvc/Viewer/P160751. Accessed from www.cax.streamnet.org vers July 1, 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
"ICMC2021","Steelhead (Middle Columbia River DPS)","Steelhead","Survey","Cascades Eastern Slope Tributaries",254,"Klickitat River","Klickitat R.",1.2,"Su&Wi","Klickitat River",2014,1222,1,"Yakama Nation Fisheries","Mari Williams","Middle Columbia River Steelhead Natural Origin Spawner Abundance Dataset (2006-2019). Spawner abundance data. Confederated Tribes and Bands of the Yakama Nation. Protocol and Methods available at https://www.cbfish.org/Document.mvc/Viewer/P148516 and https://www.cbfish.org/Document.mvc/Viewer/P160751. Accessed from www.cax.streamnet.org vers July 1, 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
"ICMC2021","Steelhead (Middle Columbia River DPS)","Steelhead","Survey","Cascades Eastern Slope Tributaries",254,"Klickitat River","Klickitat R.",1.2,"Su&Wi","Klickitat River",2015,2956,1,"Yakama Nation Fisheries","Mari Williams","Middle Columbia River Steelhead Natural Origin Spawner Abundance Dataset (2006-2019). Spawner abundance data. Confederated Tribes and Bands of the Yakama Nation. Protocol and Methods available at https://www.cbfish.org/Document.mvc/Viewer/P148516 and https://www.cbfish.org/Document.mvc/Viewer/P160751. Accessed from www.cax.streamnet.org vers July 1, 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
