"SERIES","ESU","SPECIES","METHOD","MAJOR_POPULATION_GROUP","NMFS_POPID","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CONTRIBUTOR","COMPILER","CITATION","LINE_NOTES"
"ICUCsthdModel","Steelhead (Upper Columbia River DPS)","Steelhead","Model","Upper Columbia / East Slope Cascades",328,"Entiat River","Entiat R.",1.3,"Summer","Entiat River",2011,872,0.802752294,"Washington Department of Fish and Wildlife","Mari Williams","Waterhouse, L., J. White, K. See, A. Murdoch, and B. X. Semmens. 2020. A Bayesian nested patch occupancy model to estimate steelhead movement and abundance. Ecological Applications 00(00): e02202. 10.1002/eap.2202",NA
"ICUCsthdModel","Steelhead (Upper Columbia River DPS)","Steelhead","Model","Upper Columbia / East Slope Cascades",328,"Entiat River","Entiat R.",1.3,"Summer","Entiat River",2012,657,0.808219178,"Washington Department of Fish and Wildlife","Mari Williams","Waterhouse, L., J. White, K. See, A. Murdoch, and B. X. Semmens. 2020. A Bayesian nested patch occupancy model to estimate steelhead movement and abundance. Ecological Applications 00(00): e02202. 10.1002/eap.2202",NA
"ICUCsthdModel","Steelhead (Upper Columbia River DPS)","Steelhead","Model","Upper Columbia / East Slope Cascades",328,"Entiat River","Entiat R.",1.3,"Summer","Entiat River",2013,379,0.646437995,"Washington Department of Fish and Wildlife","Mari Williams","Waterhouse, L., J. White, K. See, A. Murdoch, and B. X. Semmens. 2020. A Bayesian nested patch occupancy model to estimate steelhead movement and abundance. Ecological Applications 00(00): e02202. 10.1002/eap.2202",NA
"ICUCsthdModel","Steelhead (Upper Columbia River DPS)","Steelhead","Model","Upper Columbia / East Slope Cascades",328,"Entiat River","Entiat R.",1.3,"Summer","Entiat River",2014,478,0.905857741,"Washington Department of Fish and Wildlife","Mari Williams","Waterhouse, L., J. White, K. See, A. Murdoch, and B. X. Semmens. 2020. A Bayesian nested patch occupancy model to estimate steelhead movement and abundance. Ecological Applications 00(00): e02202. 10.1002/eap.2202",NA
"ICUCsthdModel","Steelhead (Upper Columbia River DPS)","Steelhead","Model","Upper Columbia / East Slope Cascades",328,"Entiat River","Entiat R.",1.3,"Summer","Entiat River",2015,647,0.908809892,"Washington Department of Fish and Wildlife","Mari Williams","Waterhouse, L., J. White, K. See, A. Murdoch, and B. X. Semmens. 2020. A Bayesian nested patch occupancy model to estimate steelhead movement and abundance. Ecological Applications 00(00): e02202. 10.1002/eap.2202",NA
"ICUCsthdModel","Steelhead (Upper Columbia River DPS)","Steelhead","Model","Upper Columbia / East Slope Cascades",328,"Entiat River","Entiat R.",1.3,"Summer","Entiat River",2016,521,0.884836852,"Washington Department of Fish and Wildlife","Mari Williams","Waterhouse, L., J. White, K. See, A. Murdoch, and B. X. Semmens. 2020. A Bayesian nested patch occupancy model to estimate steelhead movement and abundance. Ecological Applications 00(00): e02202. 10.1002/eap.2202",NA
"ICUCsthdModel","Steelhead (Upper Columbia River DPS)","Steelhead","Model","Upper Columbia / East Slope Cascades",328,"Entiat River","Entiat R.",1.3,"Summer","Entiat River",2017,226,0.703539823,"Washington Department of Fish and Wildlife","Mari Williams","Waterhouse, L., J. White, K. See, A. Murdoch, and B. X. Semmens. 2020. A Bayesian nested patch occupancy model to estimate steelhead movement and abundance. Ecological Applications 00(00): e02202. 10.1002/eap.2202",NA
"ICUCsthdModel","Steelhead (Upper Columbia River DPS)","Steelhead","Model","Upper Columbia / East Slope Cascades",328,"Entiat River","Entiat R.",1.3,"Summer","Entiat River",2018,158,0.715189873,"Washington Department of Fish and Wildlife","Mari Williams","Waterhouse, L., J. White, K. See, A. Murdoch, and B. X. Semmens. 2020. A Bayesian nested patch occupancy model to estimate steelhead movement and abundance. Ecological Applications 00(00): e02202. 10.1002/eap.2202",NA
"ICUCsthdModel","Steelhead (Upper Columbia River DPS)","Steelhead","Model","Upper Columbia / East Slope Cascades",328,"Entiat River","Entiat R.",1.3,"Summer","Entiat River",2019,146,0.746575342,"Washington Department of Fish and Wildlife","Mari Williams","Waterhouse, L., J. White, K. See, A. Murdoch, and B. X. Semmens. 2020. A Bayesian nested patch occupancy model to estimate steelhead movement and abundance. Ecological Applications 00(00): e02202. 10.1002/eap.2202",NA
"ICUCsthdModel","Steelhead (Upper Columbia River DPS)","Steelhead","Model","Upper Columbia / East Slope Cascades",329,"Methow River","Methow R.",1.4,"Summer","Methow River",2011,3889,0.292877346,"Washington Department of Fish and Wildlife","Mari Williams","Waterhouse, L., J. White, K. See, A. Murdoch, and B. X. Semmens. 2020. A Bayesian nested patch occupancy model to estimate steelhead movement and abundance. Ecological Applications 00(00): e02202. 10.1002/eap.2202",NA
