NMFS_POPID,RECOVERY_DOMAIN,ESU,MAJOR_POPULATION_GROUP,COMMON_POPULATION_NAME,NWR_Name,Population_RunTime,SPECIES,RUN_TIMING,STREAM_NAME,START_YEAR,END_YEAR,BROOD_YEAR,VIABILITY_TYPE,NUMBER_OF_SPAWNERS,SPAWNER_NOTES,FRACWILD,HATCHERY_FRACTION,HATCHERY_FRACTION_NOTES,CATCH,AGE_1_RETURNS,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS,AGE_1_HARVEST,AGE_2_HARVEST,AGE_3_HARVEST,AGE_4_HARVEST,AGE_5_HARVEST,AGE_6_HARVEST,AGE_7_HARVEST,REGIME,AGE_NOTES,ABUND_COUNT_EXTERNAL_FILE_1_LI,ABUND_COUNT_EXTERNAL_FILE_2_LI,POPULATION_DB_ID,TOTAL_SPAWNERS_WITH_JACKS,NATURAL_SPAWNERS_WITH_JACKS,NATURAL_ADULT_ANNUAL_RUN_4_6,JACK_FRAC_OF_HATCHERY_SPAWNERS,ADULT_NATURAL_HARVEST_RATE,NAT_NO_ORIGIN_BROOD_STOCK,ADULT_BROOD_RETURNS,SAR_ADJUSTED_ADULT_BRD_RETURNS,LINK_REFERENCE_S,ADJUSTED_LINK_REFERENCE_S,ATTRIBUTE_SCOPE_TYPE,INCLUDE_AGE2,HATCHERY_RETURN,HATCHERY_RETURN_NOR,NUMBER_USED_FOR_BROODSTOCK,FRACTION_BROODSTOCK_TAKEN_NOR,AGE_DATA_TYPE,AGE_DETERMINATION_SAMPLE_SIZE,AEQ_CATCH_AGE2_OCEAN,CO2_DATA_TYPE,AEQ_CATCH_AGE3_OCEAN,CO3_DATA_TYPE,AEQ_CATCH_AGE4_OCEAN,CO4_DATA_TYPE,AEQ_CATCH_AGE5_OCEAN,CO5_DATA_TYPE,CATCH_AGE2_TERMINAL_FISHERIES,CTF2_DATA_TYPE,CATCH_AGE3_TERMINAL_FISHERIES,CTF3_DATA_TYPE,CATCH_AGE4_TERMINAL_FISHERIES,CTF4_DATA_TYPE,CATCH_AGE5_TERMINAL_FISHERIES,CTF5_DATA_TYPE,PPM_POSTFISHERY_PRESPAWN_MORT,PPM_AGE2,PPM_AGE3,PPM_AGE4,PPM_AGE5,RETURN_POTENTIAL,RETURN_POTENTIAL_AGE2,RETURN_POTENTIAL_AGE3,RETURN_POTENTIAL_AGE4,RETURN_POTENTIAL_AGE5,SAIP_STOCK_ID,SAIP_ABUNDANCE,SAIP_CATCH,SAIP_ANTHROPOGENIC,SAIP_LIFE_HISTORY,SAIP_ASSESSMENT_MODEL,SAIP_FREQUENCY,QAQC_FLAG
6,Willamette/Lower Columbia,Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook Salmon (Lower Columbia River ESU) - Coweeman River Fall-run,Coweeman River-Fall,Chinook,Fall-run,,1964,2014,1964,,364,,-99,,,-99,0,0.019,0.561,0.336,0.084,0,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Willamette/Lower Columbia,Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook Salmon (Lower Columbia River ESU) - Coweeman River Fall-run,Coweeman River-Fall,Chinook,Fall-run,,1964,2014,1965,,75,,-99,,,-99,0,0.115,0.164,0.68,0.041,0,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Willamette/Lower Columbia,Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook Salmon (Lower Columbia River ESU) - Coweeman River Fall-run,Coweeman River-Fall,Chinook,Fall-run,,1964,2014,1966,,108,,-99,,,-99,0,0.02,0.522,0.377,0.081,0,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Willamette/Lower Columbia,Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook Salmon (Lower Columbia River ESU) - Coweeman River Fall-run,Coweeman River-Fall,Chinook,Fall-run,,1964,2014,1967,,100,,-99,,,-99,0,0.063,0.254,0.636,0.047,0,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Willamette/Lower Columbia,Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook Salmon (Lower Columbia River ESU) - Coweeman River Fall-run,Coweeman River-Fall,Chinook,Fall-run,,1964,2014,1968,,132,,-99,,,-99,0,0.052,0.376,0.445,0.128,0,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Willamette/Lower Columbia,Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook Salmon (Lower Columbia River ESU) - Coweeman River Fall-run,Coweeman River-Fall,Chinook,Fall-run,,1964,2014,1969,,86,,-99,,,-99,0,0.104,0.275,0.552,0.069,0,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Willamette/Lower Columbia,Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook Salmon (Lower Columbia River ESU) - Coweeman River Fall-run,Coweeman River-Fall,Chinook,Fall-run,,1964,2014,1970,,72,,-99,,,-99,0,0.072,0.535,0.344,0.049,0,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Willamette/Lower Columbia,Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook Salmon (Lower Columbia River ESU) - Coweeman River Fall-run,Coweeman River-Fall,Chinook,Fall-run,,1964,2014,1971,,933,,-99,,,-99,0,0.02,0.349,0.599,0.031,0,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Willamette/Lower Columbia,Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook Salmon (Lower Columbia River ESU) - Coweeman River Fall-run,Coweeman River-Fall,Chinook,Fall-run,,1964,2014,1972,,830,,-99,,,-99,0,0.063,0.207,0.663,0.067,0,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Willamette/Lower Columbia,Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook Salmon (Lower Columbia River ESU) - Coweeman River Fall-run,Coweeman River-Fall,Chinook,Fall-run,,1964,2014,1973,,242,,-99,,,-99,0,0.034,0.343,0.476,0.148,0,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Willamette/Lower Columbia,Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook Salmon (Lower Columbia River ESU) - Coweeman River Fall-run,Coweeman River-Fall,Chinook,Fall-run,,1964,2014,1974,,156,,-99,,,-99,0,0.028,0.271,0.603,0.098,0,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Willamette/Lower Columbia,Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook Salmon (Lower Columbia River ESU) - Coweeman River Fall-run,Coweeman River-Fall,Chinook,Fall-run,,1964,2014,1975,,296,,-99,,,-99,0,0.055,0.322,0.498,0.125,0,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Willamette/Lower Columbia,Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook Salmon (Lower Columbia River ESU) - Coweeman River Fall-run,Coweeman River-Fall,Chinook,Fall-run,,1964,2014,1976,,528,,-99,,,-99,0,0.071,0.365,0.46,0.105,0,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Willamette/Lower Columbia,Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook Salmon (Lower Columbia River ESU) - Coweeman River Fall-run,Coweeman River-Fall-run,Chinook,Fall-run,,1964,2014,1977,,337,,1,,,-99,0,0.041,0.109,0.453,0.394,0.003,-99,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Willamette/Lower Columbia,Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook Salmon (Lower Columbia River ESU) - Coweeman River Fall-run,Coweeman River-Fall-run,Chinook,Fall-run,,1964,2014,1978,,243,,1,,,-99,0,0.013,0.34,0.405,0.236,0.006,-99,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Willamette/Lower Columbia,Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook Salmon (Lower Columbia River ESU) - Coweeman River Fall-run,Coweeman River-Fall-run,Chinook,Fall-run,,1964,2014,1979,,344,,1,,,-99,0,0.011,0.069,0.786,0.131,0.002,-99,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
